time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.007751,0.00567947,0.00567947,0.19913,-0.0527306,-0.00977913,3.71896,-7.28235,3.71896,4.09395
0.015712,0.0117751,0.0117751,0.198267,-0.255887,-0.00910801,2.35412,-14.6353,2.35412,4.07644
0.023766,0.0178976,0.0178976,0.19587,-0.437664,-0.00738228,1.34194,-5.98824,1.34194,4.0278
0.03196,0.0241878,0.0241878,0.19309,-0.404779,-0.00536893,0.33892,-2.41176,0.33892,3.97134
0.039699,0.0301323,0.0301323,0.189926,-0.320219,-0.00325971,-0.21068,3.08235,-0.21068,3.90706
0.047684,0.0362453,0.0362453,0.187721,-0.195487,-0.0022051,-0.31144,2.34118,-0.31144,3.86224
0.055684,0.0423676,0.0423676,0.186283,-0.107762,-0.00210922,0.18778,1.92941,0.18778,3.83299
0.063834,0.048585,0.048585,0.185516,-0.0401711,-0.00287621,1.24118,-0.0235294,1.24118,3.81739
0.07169,0.0546211,0.0546211,0.185228,-0.0500461,-0.00412257,2.19382,-7.17647,2.19382,3.81154
0.079684,0.060743,0.060743,0.184461,-0.184174,-0.00517719,2.35412,-5.84706,2.35412,3.79594
0.087678,0.0668651,0.0668651,0.182735,-0.311973,-0.00565655,2.35412,-7.55294,2.35412,3.76083
0.09581,0.0730739,0.0730739,0.180147,-0.42357,-0.00546481,2.16176,-3.63529,2.16176,3.70813
0.103703,0.0791381,0.0791381,0.176983,-0.45703,-0.00498544,1.46102,-2.12941,1.46102,3.6437
0.111691,0.0852599,0.0852599,0.173627,-0.424146,-0.00431432,1.0534,0,1.0534,3.57531
0.120725,0.0921006,0.0921006,0.170559,-0.348118,-0.00412257,1.08546,1.61176,1.08546,3.51276
0.127769,0.0975505,0.0975505,0.167587,-0.296442,-0.00431432,1.61674,-1.30588,1.61674,3.45213
0.135691,0.103652,0.103652,0.165478,-0.294141,-0.00479369,2.13428,-1.94118,2.13428,3.40908
0.143683,0.109781,0.109781,0.163273,-0.310919,-0.00546481,2.35412,-3.84706,2.35412,3.36406
0.154831,0.118301,0.118301,0.160876,-0.35272,-0.0062318,2.35412,-4.03529,2.35412,3.3151
0.161726,0.123613,0.123613,0.157041,-0.458852,-0.00699879,2.35412,-4.31765,2.35412,3.23674
0.169697,0.129729,0.129729,0.154069,-0.491737,-0.00690291,2.35412,-4.14118,2.35412,3.17597
0.177684,0.135856,0.135856,0.150138,-0.532195,-0.00661529,2.35412,-1.08235,2.35412,3.09556
0.185833,0.142088,0.142088,0.146016,-0.517527,-0.00613592,2.0839,-4.04706,2.0839,3.01117
0.193704,0.148147,0.148147,0.142181,-0.486751,-0.0058483,1.97856,-1.23529,1.97856,2.93263
0.201697,0.154282,0.154282,0.138346,-0.464604,-0.00565655,1.93734,0.0470588,1.93734,2.85404
0.209682,0.160412,0.160412,0.134703,-0.479848,-0.00565655,2.02436,-3.38824,2.02436,2.77934
0.217814,0.166633,0.166633,0.131155,-0.500365,-0.0058483,1.17706,-3.49412,1.17706,2.70658
0.225704,0.17271,0.17271,0.127225,-0.50909,-0.0058483,2.1297,0.211765,2.1297,2.6259
0.233683,0.178838,0.178838,0.12339,-0.499598,-0.00575243,2.1526,-3.45882,2.1526,2.54716
0.242874,0.185875,0.185875,0.119363,-0.532195,-0.00575243,2.2213,-2.71765,2.2213,2.46444
0.250799,0.191962,0.191962,0.115144,-0.496147,-0.00575243,2.35412,-2.11765,2.35412,2.37773
0.258712,0.19806,0.19806,0.111405,-0.498736,-0.00594418,2.35412,-1.37647,2.35412,2.30085
0.266704,0.204201,0.204201,0.107954,-0.545234,-0.00632767,2.35412,-3.48235,2.35412,2.22984
0.274797,0.210401,0.210401,0.104023,-0.538427,-0.00632767,2.15718,-1.42353,2.15718,2.14895
0.282815,0.216565,0.216565,0.0999005,-0.523375,-0.00613592,1.93734,-1.70588,1.93734,2.06407
0.290687,0.222634,0.222634,0.0956821,-0.552712,-0.0058483,1.76788,-1.90588,1.76788,1.97719
0.298682,0.228781,0.228781,0.0915595,-0.461057,-0.00556068,1.81368,0.564706,1.81368,1.89224
0.306932,0.235095,0.235095,0.0880121,-0.44706,-0.00556068,1.9923,-1.75294,1.9923,1.81912
0.314799,0.241154,0.241154,0.0843689,-0.483396,-0.00565655,2.14344,-1.95294,2.14344,1.744
0.322703,0.247252,0.247252,0.0809175,-0.45262,-0.0058483,2.14802,-0.447059,2.14802,1.67282
0.330695,0.2534,0.2534,0.0771784,-0.45914,-0.00575243,2.15718,-0.741176,2.15718,1.59568
0.33893,0.259667,0.259667,0.0736311,-0.451566,-0.00575243,2.1526,-1.35294,2.1526,1.52247
0.3467,0.265711,0.265711,0.0700837,-0.468439,-0.00565655,2.15718,-0.247059,2.15718,1.44924
0.354684,0.271858,0.271858,0.0665364,-0.445334,-0.00556068,2.23046,0.658824,2.23046,1.376
0.362695,0.278022,0.278022,0.0634685,-0.421269,-0.00565655,2.3129,-2.95294,2.3129,1.31264
0.370786,0.284235,0.284235,0.0603046,-0.448977,-0.0058483,2.29,-4.34118,2.29,1.24729
