time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.007961,0.00583547,0.00583547,0.0891626,-0.00278034,-0.00680704,1.84116,-2.85882,1.84116,1.84284
0.015918,0.0119288,0.0119288,0.0889709,-0.10805,-0.00661529,1.31904,-13.6235,1.31904,1.83889
0.024089,0.0181706,0.0181706,0.0878204,-0.250231,-0.00575243,0.30686,-7.04706,0.30686,1.81517
0.03195,0.0241854,0.0241854,0.0857112,-0.264132,-0.00431432,-0.46716,-0.623529,-0.46716,1.77168
0.039948,0.0303067,0.0303067,0.0837937,-0.233932,-0.00297209,-0.79234,-1.05882,-0.79234,1.73214
0.04791,0.0364029,0.0364029,0.0821638,-0.163465,-0.00191748,-0.8702,3.45882,-0.8702,1.69853
0.055908,0.0425275,0.0425275,0.0811092,-0.0603046,-0.00162985,-0.42594,4.18824,-0.42594,1.67677
0.063962,0.0486859,0.0486859,0.0809175,0.00891626,-0.0022051,0.47174,3.57647,0.47174,1.67282
0.071982,0.0548277,0.0548277,0.0812051,0.0567573,-0.00335558,1.35568,0.882353,1.35568,1.67875
0.079915,0.0609076,0.0609076,0.0813969,0.0355692,-0.00450607,1.9923,-4.03529,1.9923,1.68271
0.088401,0.0673981,0.0673981,0.0811092,-0.13058,-0.00517719,2.07016,-9.09412,2.07016,1.67677
0.095936,0.0731719,0.0731719,0.0795753,-0.288388,-0.00517719,1.4198,-6.18824,1.4198,1.64513
0.103889,0.0792728,0.0792728,0.0776578,-0.349172,-0.00450607,0.54044,-4.49412,0.54044,1.60557
0.111905,0.0854137,0.0854137,0.0750692,-0.321081,-0.00345146,-0.14198,-2.32941,-0.14198,1.55215
0.120119,0.0916153,0.0916153,0.0726723,-0.279568,-0.00268447,-0.458,4.23529,-0.458,1.50268
0.127932,0.0976913,0.0976913,0.0707549,-0.157712,-0.00239684,-0.21068,3.62353,-0.21068,1.4631
0.135904,0.103807,0.103807,0.0696044,-0.0669199,-0.00268447,0.60914,3.08235,0.60914,1.43935
0.143938,0.109961,0.109961,0.0692209,-0.0351857,-0.00373908,1.52972,3.42353,1.52972,1.43143
0.152973,0.116885,0.116885,0.0687415,-0.0595376,-0.00488956,2.24878,-4.37647,2.24878,1.42153
0.160895,0.122966,0.122966,0.0676869,-0.194911,-0.00575243,2.35412,-4.83529,2.35412,1.39976
0.168898,0.129107,0.129107,0.0662488,-0.294141,-0.0058483,2.09764,-6.38824,2.09764,1.37006
0.176883,0.13523,0.13523,0.0639478,-0.359719,-0.00536893,1.40606,-2.2,1.40606,1.32254
0.184941,0.141405,0.141405,0.0613592,-0.327121,-0.00479369,0.81982,-0.341176,0.81982,1.26908
0.192891,0.147512,0.147512,0.0590583,-0.308714,-0.00431432,0.46258,-1.91765,0.46258,1.22154
0.200882,0.153645,0.153645,0.056949,-0.261831,-0.0040267,0.37556,0.505882,0.37556,1.17796
0.210621,0.161111,0.161111,0.0551274,-0.195774,-0.0040267,0.57708,0.341176,0.57708,1.14032
0.217917,0.166716,0.166716,0.0534976,-0.145057,-0.00460194,1.20912,1.35294,1.20912,1.10664
0.225887,0.17284,0.17284,0.052443,-0.11361,-0.00508131,1.75872,0.517647,1.75872,1.08485
0.233892,0.17899,0.17899,0.0515801,-0.102777,-0.0058483,2.35412,-3.07059,2.35412,1.06701
0.242032,0.185226,0.185226,0.0506214,-0.166245,-0.00651942,2.35412,-3.62353,2.35412,1.0472
0.249919,0.191293,0.191293,0.0492791,-0.215716,-0.00671117,2.35412,-2.23529,2.35412,1.01945
0.257923,0.197438,0.197438,0.0475534,-0.251285,-0.00661529,2.15718,-3.16471,2.15718,0.98378
0.265882,0.203559,0.203559,0.0454442,-0.281869,-0.00613592,1.57094,-3.8,1.57094,0.940175
0.274085,0.209854,0.209854,0.0432391,-0.265091,-0.00536893,1.09462,0.623529,1.09462,0.894584
0.281935,0.21589,0.21589,0.0413216,-0.216387,-0.00488956,0.85188,0.658824,0.85188,0.854936
0.289818,0.221968,0.221968,0.0395959,-0.187146,-0.00450607,0.74654,-2.2,0.74654,0.81925
0.297817,0.228118,0.228118,0.0382536,-0.154453,-0.00441019,0.85646,1.84706,0.85646,0.791493
0.306973,0.235137,0.235137,0.0370073,-0.1092,-0.00460194,1.145,-0.2,1.145,0.765717
0.314922,0.24125,0.24125,0.0360485,-0.0707549,-0.00488956,1.63048,0,1.63048,0.745888
