time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.007959,-5,-5,-0.26931,0.0156274,0.0149563,-5.36776,-3.55294,-5.36776,-5.50642
0.016008,-5,-5,-0.268926,0.240835,0.0147646,-4.74946,29.6941,-4.74946,-5.49877
0.023918,-5,-5,-0.266625,0.394521,0.012943,-3.71438,-8.44706,-3.71438,-5.45284
0.032546,-5,-5,-0.264324,0.182256,0.0113131,-3.2976,-10.8941,-3.2976,-5.40689
0.039973,-5,-5,-0.263365,0.050142,0.0107379,-3.66858,-8.01176,-3.66858,-5.38774
0.047915,-5,-5,-0.263365,-0.0929017,0.0111214,-4.44718,-11.2,-4.44718,-5.38774
0.055906,-5,-5,-0.264132,-0.119459,0.012176,-5.22578,-7.29412,-5.22578,-5.40306
0.063993,-5,-5,-0.264803,-0.0789041,0.0133265,-5.78912,-4.6,-5.78912,-5.41647
0.071928,-5,-5,-0.265187,-0.0403629,0.0143811,-6.0914,-2.25882,-6.0914,-5.42413
0.079926,-5,-5,-0.265187,0.00604005,0.0148604,-6.183,-2.29412,-6.183,-5.42413
0.087914,-5,-5,-0.264899,0.0601129,0.0149563,-6.10514,-2.78824,-6.10514,-5.41838
0.095998,-5,-5,-0.26442,0.0515801,0.0150522,-6.07766,-1.82353,-6.07766,-5.40881
0.103973,-5,-5,-0.264036,0.0598252,0.0149563,-5.92194,-3.50588,-5.92194,-5.40115
0.111904,-5,-5,-0.263557,0.0554151,0.0147646,-5.71126,-6.48235,-5.71126,-5.39157
0.119899,-5,-5,-0.263269,0.0336517,0.0146687,-5.64714,-4.07059,-5.64714,-5.38582
0.128066,-5,-5,-0.263078,0.021284,0.0146687,-5.6334,-3.16471,-5.6334,-5.38199
0.136002,-5,-5,-0.262982,0.0170655,0.0146687,-5.61966,-3.31765,-5.61966,-5.38007
0.143929,-5,-5,-0.262886,0.0157233,0.0146687,-5.57386,-2.67059,-5.57386,-5.37816
0.151914,-5,-5,-0.26279,0.0160109,0.0145728,-5.53264,-2.88235,-5.53264,-5.37624
0.159965,-5,-5,-0.262598,0.0183119,0.0145728,-5.496,-3.35294,-5.496,-5.37241
0.167983,-5,-5,-0.262502,0.0162027,0.0145728,-5.4502,-2.78824,-5.4502,-5.37049
0.175918,-5,-5,-0.262407,0.0146687,0.0144769,-5.4044,-2.94118,-5.4044,-5.36858
0.183912,-5,-5,-0.262311,0.0149563,0.0144769,-5.3357,-3.21176,-5.3357,-5.36666
0.192003,-5,-5,-0.262215,0.0165862,0.0143811,-5.29448,-3.42353,-5.29448,-5.36474
0.199918,-5,-5,-0.262023,0.0184078,0.0143811,-5.23036,-3.44706,-5.23036,-5.36091
0.207938,-5,-5,-0.261927,0.0193665,0.0142852,-5.13876,-7.15294,-5.13876,-5.359
0.21702,-5,-5,-0.261927,0.017449,0.0142852,-5.16166,-5.78824,-5.16166,-5.359
0.224994,-5,-5,-0.261831,0.016682,0.0142852,-5.20288,-6.34118,-5.20288,-5.35708
0.233019,-5,-5,-0.261831,0.0156274,0.0142852,-5.20746,-6.23529,-5.20746,-5.35708
0.240993,-5,-5,-0.261927,0.0146687,0.0142852,-5.18456,-6.28235,-5.18456,-5.359
0.249118,-5,-5,-0.261831,0.0146687,0.0142852,-5.16166,-6.24706,-5.16166,-5.35708
0.256988,-5,-5,-0.261927,0.01371,0.0142852,-5.14792,-6.28235,-5.14792,-5.359
0.264919,-5,-5,-0.261927,0.0128471,0.0142852,-5.14334,-6.27059,-5.14334,-5.359
0.272915,-5,-5,-0.261927,0.0120801,0.0142852,-5.1067,-6.47059,-5.1067,-5.359
0.282024,-5,-5,-0.261831,0.0113131,0.0141893,-5.09296,-7.68235,-5.09296,-5.35708
