time,tau_ref_traj,t_ld,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.008061,-5,-5,-0.281773,0.0297209,0.0176408,-5.39066,0.729412,-5.39066,-5.75463
0.015939,-5,-5,-0.281198,0.259243,0.0173532,-4.71282,23.1529,-4.71282,-5.74319
0.023998,-5,-5,-0.278609,0.45751,0.0153398,-3.81514,-4.03529,-3.81514,-5.69171
0.03191,-5,-5,-0.275637,0.249655,0.0130388,-3.35256,-4.87059,-3.35256,-5.63254
0.040025,-5,-5,-0.274103,0.0808216,0.0120801,-3.53118,-12.6471,-3.53118,-5.60199
0.047927,-5,-5,-0.273911,-0.0567573,0.0124636,-4.33726,-12.1059,-4.33726,-5.59817
0.055917,-5,-5,-0.274487,-0.138346,0.0135182,-5.2441,-7.78824,-5.2441,-5.60963
0.064165,-5,-5,-0.275445,-0.103448,0.0149563,-5.92652,-2.10588,-5.92652,-5.62872
0.072013,-5,-5,-0.275925,-0.0464988,0.0161068,-6.23338,-1.4,-6.23338,-5.63827
0.079941,-5,-5,-0.275637,0.0910801,0.0165862,-6.18758,1.61176,-6.18758,-5.63254
0.087927,-5,-5,-0.274774,0.146879,0.0163944,-5.85324,-3.2,-5.85324,-5.61536
0.096137,-5,-5,-0.273624,0.165191,0.0160109,-5.40898,-2.02353,-5.40898,-5.59244
0.103957,-5,-5,-0.272377,0.142852,0.0155316,-5.09754,-4.87059,-5.09754,-5.5676
0.111919,-5,-5,-0.271323,0.0980789,0.0151481,-5.0151,-5.11765,-5.0151,-5.54657
0.119925,-5,-5,-0.270652,0.0492791,0.0151481,-5.18914,-1.87059,-5.18914,-5.53319
0.128133,-5,-5,-0.270364,0.0300085,0.0153398,-5.52806,-3.28235,-5.52806,-5.52745
0.135974,-5,-5,-0.270172,0.0186954,0.0157233,-5.9082,-2.22353,-5.9082,-5.52363
0.143934,-5,-5,-0.269981,0.0132306,0.0161068,-6.20132,-2.24706,-6.20132,-5.51981
0.151915,-5,-5,-0.269885,0.0163944,0.0164903,-6.39368,-2.47059,-6.39368,-5.51789
0.161067,-5,-5,-0.269597,0.0485121,0.016682,-6.40742,-1.4,-6.40742,-5.51216
0.168923,-5,-5,-0.269022,0.0860947,0.016682,-6.1601,-2.47059,-6.1601,-5.50068
0.177021,-5,-5,-0.268255,0.116295,0.0163944,-5.76622,-2.62353,-5.76622,-5.48538
0.184933,-5,-5,-0.267392,0.120417,0.0159151,-5.35402,-3.71765,-5.35402,-5.46816
0.193046,-5,-5,-0.266529,0.090409,0.0155316,-5.12044,-5.17647,-5.12044,-5.45093
0.20105,-5,-5,-0.265858,0.0602087,0.0152439,-5.06548,-5.90588,-5.06548,-5.43753
0.208931,-5,-5,-0.26557,0.0267488,0.0152439,-5.19372,-2.56471,-5.19372,-5.43179
0.217251,-5,-5,-0.265475,0.0181201,0.0154357,-5.41356,-4.09412,-5.41356,-5.42987
0.225055,-5,-5,-0.265475,0.0181201,0.0156274,-5.61966,-3.90588,-5.61966,-5.42987
0.232922,-5,-5,-0.265379,0.0162985,0.0158192,-5.73874,-1.14118,-5.73874,-5.42796
0.240935,-5,-5,-0.265379,0.012943,0.0160109,-5.7937,-2.07059,-5.7937,-5.42796
0.249008,-5,-5,-0.265187,0.0131347,0.0160109,-5.80744,-2.07059,-5.80744,-5.42413
0.25695,-5,-5,-0.265091,0.0141893,0.0160109,-5.78454,-2.23529,-5.78454,-5.42221
0.264919,-5,-5,-0.264995,0.0177367,0.0160109,-4.71282,-2.62353,-4.71282,-5.4203
0.272914,-5,-5,-0.264803,0.0187913,0.0159151,-5.57386,-2.71765,-5.57386,-5.41647
0.281068,-5,-5,-0.264708,0.0162985,0.0158192,-5.4502,-2.18824,-5.4502,-5.41455
0.289034,-5,-5,-0.264612,0.0130388,0.0157233,-5.3357,-1.68235,-5.3357,-5.41264
0.296919,-5,-5,-0.264612,0.0113131,0.0156274,-5.2441,-1.24706,-5.2441,-5.41264
0.304922,-5,-5,-0.264516,0.0102585,0.0155316,-5.13876,-1.42353,-5.13876,-5.41072
0.313069,-5,-5,-0.26442,0.00939563,0.0154357,-5.0609,-1.21176,-5.0609,-5.40881
0.321021,-5,-5,-0.26442,0.009875,0.0153398,-5.03342,-3.8,-5.03342,-5.40881
0.328917,-5,-5,-0.26442,0.00882039,0.0153398,-5.00594,-1.63529,-5.00594,-5.40881
0.336915,-5,-5,-0.264324,0.0100667,0.0152439,-5.05174,-3.85882,-5.05174,-5.40689
0.345055,-5,-5,-0.264324,0.00977913,0.0153398,-5.08838,-0.929412,-5.08838,-5.40689
0.35292,-5,-5,-0.264324,0.00882039,0.0153398,-5.13876,-4.48235,-5.13876,-5.40689
0.360913,-5,-5,-0.264324,0.00843689,0.0153398,-5.20746,-4.32941,-5.20746,-5.40689
0.368913,-5,-5,-0.264324,0.00814927,0.0154357,-5.23952,-1.41176,-5.23952,-5.40689
0.377041,-5,-5,-0.264228,0.0141893,0.0154357,-5.1983,-2.35294,-5.1983,-5.40498
0.38492,-5,-5,-0.264132,0.0165862,0.0154357,-5.16624,-3.08235,-5.16624,-5.40306
0.392931,-5,-5,-0.264036,0.012176,0.0154357,-5.18914,-2.71765,-5.18914,-5.40115
0.401058,-5,-5,-0.263941,0.0142852,0.0153398,-5.16166,-3.76471,-5.16166,-5.39923
0.409043,-5,-5,-0.263749,0.0144769,0.0153398,-5.13418,-3.29412,-5.13418,-5.3954
0.41692,-5,-5,-0.263653,0.0150522,0.0153398,-5.12502,-3.29412,-5.12502,-5.39348
0.424913,-5,-5,-0.263557,0.0162985,0.0153398,-5.09296,-4,-5.09296,-5.39157
0.433167,-5,-5,-0.263461,0.018983,0.0153398,-5.0609,-3.91765,-5.0609,-5.38965
0.440973,-5,-5,-0.263269,0.0194624,0.0152439,-5.04258,-3.50588,-5.04258,-5.38582
0.448999,-5,-5,-0.263174,0.0156274,0.0152439,-5.04716,-3.34118,-5.04716,-5.38391
0.456933,-5,-5,-0.263078,0.0127512,0.0153398,-5.10212,-2.72941,-5.10212,-5.38199
0.465081,-5,-5,-0.262982,0.0113131,0.0153398,-5.13418,-2.38824,-5.13418,-5.38007
0.472982,-5,-5,-0.262886,0.0105461,0.0153398,-5.18456,-2.77647,-5.18456,-5.37816
0.48092,-5,-5,-0.26279,0.0107379,0.0154357,-5.23494,-2.37647,-5.23494,-5.37624
0.488913,-5,-5,-0.262694,0.0115049,0.0154357,-5.26242,-2.58824,-5.26242,-5.37433
0.497244,-5,-5,-0.262598,0.012176,0.0155316,-5.2899,-2.76471,-5.2899,-5.37241
0.504939,-5,-5,-0.262502,0.0138058,0.0155316,-5.29906,-2.54118,-5.29906,-5.37049
0.512915,-5,-5,-0.262407,0.0158192,0.0155316,-5.3128,-2.43529,-5.3128,-5.36858
0.521,-5,-5,-0.262215,0.0161068,0.0155316,-5.28074,-2.05882,-5.28074,-5.36474
0.529025,-5,-5,-0.262023,0.0337476,0.0154357,-5.16166,-3.85882,-5.16166,-5.36091
0.536928,-5,-5,-0.261831,0.047841,0.0153398,-4.98762,-1.52941,-4.98762,-5.35708
0.54491,-5,-5,-0.261448,0.0489915,0.0152439,-4.86396,-2.57647,-4.86396,-5.34941
0.552915,-5,-5,-0.261064,0.0393083,0.0151481,-4.8319,-4.14118,-4.8319,-5.34175
0.56103,-5,-5,-0.260873,0.027324,0.0151481,-4.85022,-2.77647,-4.85022,-5.33791
0.568926,-5,-5,-0.260681,0.0221468,0.0151481,-4.94182,-2.27059,-4.94182,-5.33408
