time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.007972,-5,-5,-0.256079,0.0149563,0.0162027,-4.9464,-5.38824,-4.9464,-5.242
0.015988,-5,-5,-0.255887,0.250614,0.0162027,-4.45176,28.0235,-4.45176,-5.23816
0.02393,-5,-5,-0.253682,0.360485,0.0145728,-3.66858,-4.10588,-3.66858,-5.194
0.031898,-5,-5,-0.251189,0.231152,0.0127512,-3.20142,-12.5529,-3.20142,-5.14404
0.039966,-5,-5,-0.249751,0.0712342,0.0119842,-3.27012,-7.04706,-3.27012,-5.11521
0.047963,-5,-5,-0.249464,-0.0632767,0.0122718,-3.99376,-12.4,-3.99376,-5.10944
0.055854,-5,-5,-0.250422,-0.208046,0.0135182,-5.09754,-8.76471,-5.09754,-5.12867
0.063977,-5,-5,-0.25186,-0.204786,0.0153398,-6.05934,-3.91765,-6.05934,-5.15749
0.071982,-5,-5,-0.253107,-0.0866699,0.0169697,-6.60436,-0.329412,-6.60436,-5.18247
0.07987,-5,-5,-0.253299,0.0507172,0.0177367,-6.6181,3.54118,-6.6181,-5.18631
0.08788,-5,-5,-0.252532,0.192706,0.017449,-5.98606,1.27059,-5.98606,-5.17094
0.096001,-5,-5,-0.250998,0.234507,0.0165862,-5.18456,-4.45882,-5.18456,-5.1402
0.103964,-5,-5,-0.249368,0.159342,0.0155316,-4.67618,-8.16471,-4.67618,-5.10752
0.111868,-5,-5,-0.248409,0.0665364,0.0149563,-4.52962,-10.1059,-4.52962,-5.08829
0.119856,-5,-5,-0.248121,0.0142852,0.0149563,-4.84106,-9.98824,-4.84106,-5.08252
0.128043,-5,-5,-0.248409,-0.0688374,0.0154357,-5.38608,-7.88235,-5.38608,-5.08829
0.13588,-5,-5,-0.248888,-0.0434308,0.0160109,-5.77538,-5.62353,-5.77538,-5.0979
0.143878,-5,-5,-0.248984,-0.0272282,0.0162985,-5.82576,-4.98824,-5.82576,-5.09983
0.15186,-5,-5,-0.248793,0.0590583,0.0162985,-5.62424,-0.482353,-5.62424,-5.09598
0.160132,-5,-5,-0.248121,0.0992294,0.0159151,-5.20746,-4.76471,-5.20746,-5.08252
0.167871,-5,-5,-0.247546,0.0743981,0.0154357,-4.86396,-3.6,-4.86396,-5.07098
0.175866,-5,-5,-0.247067,0.0352816,0.0152439,-4.75862,-4.71765,-4.75862,-5.06136
0.183862,-5,-5,-0.246971,-0.00834102,0.0152439,-4.96014,-8.32941,-4.96014,-5.05943
0.191978,-5,-5,-0.247354,-0.0601129,0.0155316,-5.32654,-6.58824,-5.32654,-5.06713
0.199869,-5,-5,-0.247738,-0.0444854,0.0159151,-5.5876,-6.49412,-5.5876,-5.07482
0.207888,-5,-5,-0.248026,-0.027324,0.0161068,-5.58302,-2.81176,-5.58302,-5.08059
0.215858,-5,-5,-0.24793,0.0157233,0.0160109,-5.34486,-0.423529,-5.34486,-5.07867
0.223959,-5,-5,-0.247642,0.0420886,0.0157233,-5.03342,-3.04706,-5.03342,-5.0729
0.231889,-5,-5,-0.247354,0.0308714,0.0153398,-4.77694,-3.25882,-4.77694,-5.06713
0.239858,-5,-5,-0.247259,0.021284,0.0151481,-4.71282,-7.2,-4.71282,-5.06521
0.249106,-5,-5,-0.24745,-0.0358568,0.0152439,-4.85022,-6.64706,-4.85022,-5.06905
0.256956,-5,-5,-0.247834,-0.0439102,0.0154357,-5.0838,-6.29412,-5.0838,-5.07675
0.264895,-5,-5,-0.248121,-0.030392,0.0155316,-5.14334,-6.74118,-5.14334,-5.08252
0.272865,-5,-5,-0.248217,-0.0222427,0.0155316,-5.02884,-2.98824,-5.02884,-5.08444
0.281126,-5,-5,-0.248121,0.0102585,0.0153398,-4.79068,-3.91765,-4.79068,-5.08252
0.288941,-5,-5,-0.24793,0.0153398,0.0152439,-4.6258,-3.68235,-4.6258,-5.07867
0.296868,-5,-5,-0.24793,0.0140934,0.0150522,-4.58,-4.81176,-4.58,-5.07867
0.30487,-5,-5,-0.24793,0.0125595,0.0149563,-4.56626,-5.35294,-4.56626,-5.07867
0.313133,-5,-5,-0.248026,0.000479369,0.0150522,-4.61206,-6.01176,-4.61206,-5.08059
0.320896,-5,-5,-0.248026,-0.00306796,0.0150522,-4.6487,-6.21176,-4.6487,-5.08059
0.328864,-5,-5,-0.248026,-0.00306796,0.0150522,-4.68534,-6.12941,-4.68534,-5.08059
0.336866,-5,-5,-0.248026,-0.00297209,0.0150522,-4.7174,-6.4,-4.7174,-5.08059
