time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.020751,0.00416382,0.00609732,0.169409,0.0830267,-0.0135182,2.35412,5.2,0.00609732,3.59721
0.042485,0.0178856,0.00605998,0.170559,0.0495668,-0.0135182,5.14334,8.68235,0.00605998,3.6214
0.054548,0.0347046,0.00601422,0.172477,0.115336,-0.0132306,4.66244,8.16471,0.00601422,3.66171
0.079888,0.0427396,0.00599235,0.173819,0.124732,-0.0132306,4.36474,-0.176471,0.00599235,3.68992
0.097864,0.063701,0.00593531,0.177462,0.180722,-0.0132306,4.27314,8.58823,0.00593531,3.76645
0.114375,0.0806726,0.00588913,0.180626,0.197692,-0.0132306,4.45176,8.68235,0.00588913,3.83288
0.13845,0.0888859,0.00586678,0.183982,0.209293,-0.0132306,4.61206,7.09412,0.00586678,3.90329
0.151102,0.10891,0.00581229,0.189159,0.23096,-0.0130388,4.56168,12.7882,0.00581229,4.01183
0.177147,0.116585,0.00579141,0.192035,0.239397,-0.0130388,4.25024,7.62353,0.00579141,4.07208
0.201752,0.138822,0.0057309,0.198267,0.240643,-0.0130388,4.08078,7.50588,0.0057309,4.20252
0.225633,0.158124,0.00567837,0.204499,0.259626,-0.0131347,3.74186,8.55294,0.00567837,4.33279
0.238643,0.17583,0.00563019,0.210155,0.257421,-0.012943,3.7098,9.31765,0.00563019,4.45089
0.264152,0.183994,0.00560798,0.213319,0.25675,-0.0130388,4.08078,7.02353,0.00560798,4.51689
0.285749,0.204988,0.00555085,0.219168,0.254641,-0.0130388,4.28688,7.98824,0.00555085,4.63876
0.300375,0.223319,0.00550097,0.224153,0.233165,-0.0130388,4.37848,7.77647,0.00550097,4.74253
0.322778,0.231471,0.00547879,0.227509,0.225591,-0.0130388,4.31436,9.05882,0.00547879,4.8123
0.335723,0.250536,0.00542691,0.232206,0.235274,-0.012943,4.27314,5.77647,0.00542691,4.9099
0.36057,0.269438,0.00537547,0.234987,0.216195,-0.012943,4.37848,7.37647,0.00537547,4.96761
0.381237,0.278783,0.00535004,0.240164,0.193857,-0.0130388,4.41512,5.89412,0.00535004,5.07496
0.393579,0.294845,0.00530634,0.243711,0.164232,-0.012943,4.27772,6.6,0.00530634,5.14844
0.412295,0.30294,0.00528431,0.24582,0.154932,-0.012943,3.90674,6.29412,0.00528431,5.19211
0.424428,0.31872,0.00524137,0.248601,0.132114,-0.0130388,3.81514,4.84706,0.00524137,5.24962
0.446958,0.326621,0.00521987,0.250039,0.12176,-0.0131347,3.72812,5.67059,0.00521987,5.27936
0.466571,0.34569,0.00516798,0.25234,0.0740146,-0.0132306,3.78766,6.76471,0.00516798,5.32691
0.478597,0.360683,0.00512718,0.253586,0.0474575,-0.0133265,3.95712,5.64706,0.00512718,5.35266
0.497414,0.369593,0.00510294,0.254066,0.0333641,-0.0134223,3.99376,4.12941,0.00510294,5.36256
0.509403,0.384336,0.00506282,0.254449,0.01371,-0.0134223,4.0533,5.65882,0.00506282,5.37047
0.531229,0.392367,0.00504097,0.254545,0.0100667,-0.0135182,4.21818,5.08235,0.00504097,5.37245
0.544006,0.410664,0.00499118,0.254353,-0.0161068,-0.0138058,4.38764,2.45882,0.00499118,5.36849
0.56322,0.419249,0.00496781,0.254066,-0.0193665,-0.0139017,4.67618,2.15294,0.00496781,5.36256
0.575756,0.435198,0.00492441,0.25349,-0.0531141,-0.0140934,4.83648,1.83529,0.00492441,5.35068
0.594992,0.443602,0.00490155,0.252819,-0.0590583,-0.0139976,4.85938,3.02353,0.00490155,5.33681
0.607363,0.459937,0.0048571,0.251669,-0.0597294,-0.0138058,4.78152,2.96471,0.0048571,5.31304
0.63016,0.46802,0.0048351,0.250902,-0.0578119,-0.0138058,4.64412,2.11765,0.0048351,5.29719
0.649905,0.487064,0.00478328,0.249559,-0.0681663,-0.0138058,4.6716,1.94118,0.00478328,5.26945
0.661857,0.501865,0.00474301,0.248217,-0.0627973,-0.01371,4.68534,1.47059,0.00474301,5.24169
0.681204,0.510958,0.00471826,0.247354,-0.0725765,-0.01371,4.85938,3.35294,0.00471826,5.22384
0.693623,0.526519,0.00467592,0.245916,-0.0720012,-0.0136141,4.90976,2.07059,0.00467592,5.19409
0.706561,0.534568,0.00465401,0.245053,-0.075932,-0.0136141,4.86854,1.38824,0.00465401,5.17623
0.726475,0.552057,0.00460642,0.243999,-0.0798629,-0.0135182,4.8319,1.03529,0.00460642,5.1544
0.74515,0.560602,0.00458317,0.242561,-0.0553192,-0.0134223,4.7403,0.517647,0.00458317,5.12462
0.757638,0.57599,0.0045413,0.24141,-0.071426,-0.0134223,4.90518,3.15294,0.0045413,5.10079
0.776122,0.584423,0.00451835,0.240451,-0.0713301,-0.0133265,4.86854,2.68235,0.00451835,5.08092
