time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.026561,0.00587218,0.00522115,0.0929976,-0.34668,-0.00565655,1.79994,-3.50588,0.00522115,1.98132
0.038016,0.0232994,0.00517712,0.087341,-0.0080534,-0.00201335,-0.72364,8.62353,0.00517712,1.86112
0.061734,0.0300557,0.00516004,0.088108,0.132785,-0.0036432,0.42136,2.62353,0.00516004,1.87742
0.085693,0.0493504,0.00511129,0.0901214,0.0348981,-0.00776578,1.5572,0.964706,0.00511129,1.92021
0.096087,0.0678017,0.00506467,0.0882998,-0.150138,-0.00776578,3.54034,-1.75294,0.00506467,1.8815
0.119429,0.0743369,0.00504815,0.0869575,-0.134127,-0.00699879,2.31748,2.07059,0.00504815,1.85297
0.130784,0.0946417,0.00499685,0.0851359,-0.0424721,-0.0062318,1.74956,0.847059,0.00499685,1.81425
0.152435,0.11168,0.0049538,0.0846566,-0.0415134,-0.00632767,1.5572,0.4,0.0049538,1.80406
0.163495,0.118209,0.0049373,0.0838896,-0.0383495,-0.00642354,1.59842,-0.152941,0.0049373,1.78775
0.181021,0.133078,0.00489973,0.0835061,-0.0229138,-0.00651942,1.73582,1.22353,0.00489973,1.7796
0.191195,0.140714,0.00488044,0.0833143,-0.0108337,-0.00699879,2.22588,-1.68235,0.00488044,1.77552
0.211373,0.156282,0.0048411,0.0832185,-0.00843689,-0.00719053,2.35412,-2.09412,0.0048411,1.77348
0.220807,0.163722,0.0048223,0.0831226,-0.00738228,-0.00719053,2.35412,-0.164706,0.0048223,1.77144
0.24018,0.171896,0.00480164,0.0831226,-0.00699879,-0.00709466,2.3129,-0.282353,0.00480164,1.77144
0.250649,0.186706,0.00476422,0.0833143,0.0142852,-0.00671117,2.11596,2.54118,0.00476422,1.77552
0.270061,0.194916,0.00474348,0.083602,0.0305837,-0.00661529,1.71292,3.25882,0.00474348,1.78163
0.279771,0.209127,0.00470757,0.0841772,0.0312549,-0.00642354,1.65338,4.14118,0.00470757,1.79386
0.299695,0.215496,0.00469148,0.0844648,0.0276117,-0.00632767,1.5114,3.76471,0.00469148,1.79998
0.309849,0.231938,0.00464993,0.0849442,0.0218592,-0.0062318,1.47934,3.69412,0.00464993,1.81017
0.330238,0.239043,0.00463198,0.0851359,0.0236808,-0.00613592,1.36026,4.81176,0.00463198,1.81425
0.340785,0.255775,0.0045897,0.0856153,0.0176408,-0.0062318,1.41064,1.96471,0.0045897,1.82444
