time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.029622,-5,-5,-0.166149,0.373524,0.00556068,-3.63652,3.72941,-5,-3.52864
0.057094,-5,-5,-0.16126,-0.384646,0.00306796,-0.35724,-12.5176,-5,-3.42571
0.072555,-5,-5,-0.169026,-0.152343,0.0123677,-4.3968,-4.70588,-5,-3.58914
0.084661,-5,-5,-0.170751,-0.0611675,0.0145728,-5.8395,-3.97647,-5,-3.62543
0.108931,-5,-5,-0.171135,-0.0255024,0.0147646,-6.2059,-3.01176,-5,-3.63349
0.124071,-5,-5,-0.170655,0.016682,0.0132306,-5.75248,-1.25882,-5,-3.62342
0.147357,-5,-5,-0.170847,-0.0458277,0.0122718,-4.27314,-6.90588,-5,-3.62745
0.174144,-5,-5,-0.172669,-0.0998046,0.0119842,-3.92964,-7.56471,-5,-3.66574
0.200822,-5,-5,-0.175545,-0.105749,0.012176,-3.95254,-7.11765,-5,-3.72618
0.215483,-5,-5,-0.178805,-0.127033,0.0122718,-3.98002,-5.15294,-5,-3.79464
0.243077,-5,-5,-0.180722,-0.121089,0.0123677,-4.03498,-8.11765,-5,-3.83489
0.26955,-5,-5,-0.184365,-0.150809,0.012176,-3.89758,-4.61176,-5,-3.91133
0.292932,-5,-5,-0.188392,-0.184557,0.012176,-3.80598,-9.44706,-5,-3.99575
0.305313,-5,-5,-0.192515,-0.185803,0.0123677,-3.9388,-6.23529,-5,-4.08212
0.320122,-5,-5,-0.194624,-0.176024,0.0124636,-4.19986,-0.458824,-5,-4.12628
0.331526,-5,-5,-0.197117,-0.164136,0.0124636,-4.19528,-6.10588,-5,-4.17845
0.353384,-5,-5,-0.199034,-0.146399,0.0124636,-4.0075,-7.55294,-5,-4.21856
0.36754,-5,-5,-0.202102,-0.146591,0.0124636,-3.92048,-5.83529,-5,-4.28271
0.391066,-5,-5,-0.204307,-0.153494,0.0123677,-3.84262,-8.89412,-5,-4.32879
0.417703,-5,-5,-0.207567,-0.145632,0.0125595,-3.95254,-6.97647,-5,-4.39686
