time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.019999,-5,-5,-0.260681,0.556643,0.0144769,-5.25784,8.08235,-5,-5.49905
0.041031,-5,-5,-0.253299,0.07296,0.00939563,-3.0228,-17.2235,-5,-5.34671
0.061974,-5,-5,-0.256271,-0.253394,0.0138058,-3.28386,-12.7882,-5,-5.40808
0.082532,-5,-5,-0.259914,-0.0761238,0.0190789,-6.42116,-2.82353,-5,-5.48324
0.102903,-5,-5,-0.25953,0.137004,0.01975,-7.97378,-1.02353,-5,-5.47533
0.123009,-5,-5,-0.25675,0.164615,0.017449,-6.74634,-6.16471,-5,-5.41797
0.144162,-5,-5,-0.255024,0.0323095,0.0158192,-4.82274,-5.71765,-5,-5.38235
0.16511,-5,-5,-0.255791,-0.0795753,0.0162985,-4.74946,-7.74118,-5,-5.39819
0.186461,-5,-5,-0.25675,-0.0234891,0.0170655,-5.78454,-7.17647,-5,-5.41797
0.207113,-5,-5,-0.25675,-0.0184078,0.0167779,-5.94026,-7.16471,-5,-5.41797
0.231245,-5,-5,-0.256942,-0.0187913,0.0164903,-5.46852,-7.41176,-5,-5.42193
0.262857,-5,-5,-0.257805,-0.0461153,0.0162985,-5.20746,-7.14118,-5,-5.43973
0.294793,-5,-5,-0.259051,-0.0341311,0.0162027,-5.20746,-8.24706,-5,-5.46544
0.324563,-5,-5,-0.260106,-0.0464988,0.0161068,-5.14792,-6.91765,-5,-5.48719
0.351706,-5,-5,-0.261256,-0.0411299,0.0162027,-5.45936,-8.02353,-5,-5.51091
0.385073,-5,-5,-0.262215,-0.0397876,0.0162027,-5.60134,-7.37647,-5,-5.53066
0.415822,-5,-5,-0.263461,-0.0308714,0.0160109,-5.5876,-8.76471,-5,-5.55634
0.436816,-5,-5,-0.264612,-0.0499502,0.0158192,-5.27616,-6.71765,-5,-5.58004
0.457319,-5,-5,-0.265666,-0.0559903,0.0159151,-5.23494,-6.37647,-5,-5.60175
0.478546,-5,-5,-0.266625,-0.0503337,0.0160109,-5.41356,-7.08235,-5,-5.62149
0.499021,-5,-5,-0.267584,-0.0393083,0.0160109,-5.51432,-9.36471,-5,-5.64122
0.520025,-5,-5,-0.268447,-0.0365279,0.0160109,-5.56012,-8.52941,-5,-5.65897
0.540828,-5,-5,-0.269118,-0.0331723,0.0159151,-5.52806,-9.21176,-5,-5.67278
0.562151,-5,-5,-0.269789,-0.0344187,0.0160109,-5.45936,-7.14118,-5,-5.68658
0.585515,-5,-5,-0.270364,-0.0210922,0.0159151,-5.44104,-7.02353,-5,-5.69841
0.606887,-5,-5,-0.271131,-0.0310631,0.0159151,-5.28074,-6.22353,-5,-5.71418
