time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.017305,0.00742606,0.00260844,0.168259,0.143523,-0.012176,2.35412,7.05882,0.00260844,3.57301
0.037372,0.0149491,0.00259296,0.170368,0.0798629,-0.0132306,5.3128,2.87059,0.00259296,3.61737
0.049003,0.0318717,0.00255813,0.170464,-0.0464029,-0.012176,5.39066,3.11765,0.00255813,3.61938
0.06531,0.0385895,0.00254431,0.170272,-0.0210922,-0.0113131,2.35412,2.48235,0.00254431,3.61535
0.076317,0.0525435,0.00251559,0.170559,0.0348981,-0.0105461,2.35412,4.89412,0.00251559,3.6214
0.091447,0.0596138,0.00250104,0.171039,0.046307,-0.0104502,2.15718,4.84706,0.00250104,3.63148
0.110457,0.0785105,0.00246215,0.171902,0.0639478,-0.0105461,2.1755,4.61176,0.00246215,3.64962
0.128169,0.0867169,0.00244526,0.172956,0.0458277,-0.0109296,2.35412,4.58824,0.00244526,3.67179
0.139948,0.100798,0.00241628,0.173436,0.0202294,-0.0110255,2.35412,5.44706,0.00241628,3.68186
0.157808,0.108383,0.00240067,0.173627,0.0127512,-0.0110255,2.35412,5.58824,0.00240067,3.68589
0.169296,0.123029,0.00237053,0.173819,0.00814927,-0.0109296,2.35412,6.4,0.00237053,3.68992
0.182808,0.130938,0.00235426,0.173915,0.0165862,-0.0110255,2.35412,4.35294,0.00235426,3.69193
0.195344,0.143655,0.00232809,0.174107,0.0118884,-0.0110255,2.35412,4.83529,0.00232809,3.69596
0.206639,0.152111,0.00231068,0.174107,0.0113131,-0.0109296,2.35412,5.8,0.00231068,3.69596
0.228015,0.16824,0.00227749,0.174011,0.000287621,-0.0110255,2.35412,3.10588,0.00227749,3.69395
0.243575,0.176195,0.00226112,0.173723,-0.011409,-0.0110255,2.35412,2.58824,0.00226112,3.68791
0.258578,0.192173,0.00222824,0.173532,-0.0143811,-0.0111214,2.35412,2.57647,0.00222824,3.68388
0.273181,0.199148,0.00221389,0.173244,-0.0183119,-0.0111214,2.35412,2.64706,0.00221389,3.67783
0.287583,0.214623,0.00218204,0.172956,-0.0232015,-0.0111214,2.35412,3.05882,0.00218204,3.67179
0.297824,0.221812,0.00216724,0.172765,-0.0123677,-0.0112172,2.35412,1.89412,0.00216724,3.66776
0.321939,0.240376,0.00212904,0.172669,-0.0113131,-0.0112172,2.35412,1.92941,0.00212904,3.66574
0.342469,0.248258,0.00211282,0.172381,-0.0130388,-0.0112172,2.35412,1.42353,0.00211282,3.6597
0.353425,0.265072,0.00207822,0.172189,-0.00977913,-0.0111214,2.35412,1.03529,0.00207822,3.65566
0.370036,0.272,0.00206396,0.172093,-0.00834102,-0.0111214,2.35412,0.917647,0.00206396,3.65365
0.379293,0.285204,0.00203679,0.171998,-0.00776578,-0.0111214,2.35412,0.988235,0.00203679,3.65163
0.388933,0.292009,0.00202278,0.171902,-0.00786165,-0.0111214,2.35412,0.941176,0.00202278,3.64962
0.40987,0.303199,0.00199975,0.171806,-0.00795753,-0.0111214,2.35412,0.941176,0.00199975,3.6476
0.426154,0.316659,0.00197205,0.171614,-0.00939563,-0.0111214,2.35412,1.17647,0.00197205,3.64357
0.44223,0.33389,0.00193659,0.171422,-0.0115049,-0.0111214,2.35412,1.32941,0.00193659,3.63954
0.462983,0.340927,0.00192211,0.171231,-0.0119842,-0.0111214,2.35412,1.61176,0.00192211,3.63551
0.474407,0.358275,0.00188641,0.170943,-0.0147646,-0.0110255,2.35412,1.87059,0.00188641,3.62946
0.494423,0.365215,0.00187213,0.170751,-0.0156274,-0.0110255,2.35412,1.84706,0.00187213,3.62543
0.50641,0.382954,0.00183562,0.170272,-0.0394041,-0.0108337,2.35412,-0.682353,0.00183562,3.61535
0.530285,0.390088,0.00182094,0.169984,-0.0338435,-0.0107379,2.35412,-1.22353,0.00182094,3.6093
0.546888,0.410895,0.00177812,0.169217,-0.0284745,-0.0107379,2.35412,-1.72941,0.00177812,3.59317
0.561749,0.425324,0.00174843,0.168546,-0.0429515,-0.0107379,2.35412,1.38824,0.00174843,3.57906
0.577563,0.433899,0.00173078,0.167779,-0.0604964,-0.0108337,2.35412,1.27059,0.00173078,3.56293
0.591275,0.448657,0.00170041,0.166916,-0.0469782,-0.0108337,2.35412,-0.247059,0.00170041,3.54477
0.601339,0.4556,0.00168612,0.166245,-0.0713301,-0.0108337,2.35412,0.917647,0.00168612,3.53065
0.613428,0.463714,0.00166942,0.165478,-0.0776578,-0.0108337,2.35412,-0.0235294,0.00166942,3.51451
0.62377,0.473351,0.00164959,0.164519,-0.0655777,-0.0107379,2.35412,-0.964706,0.00164959,3.49434
0.633681,0.480967,0.00163392,0.163944,-0.0599211,-0.0108337,2.35412,-2.62353,0.00163392,3.48223
0.645658,0.490709,0.00161387,0.163273,-0.0800546,-0.0108337,2.35412,0.376471,0.00161387,3.4681
0.655816,0.498155,0.00159855,0.162314,-0.100476,-0.0107379,2.35412,-0.294118,0.00159855,3.44791
0.673647,0.505299,0.00158384,0.161451,-0.0906966,-0.0107379,2.35412,-1.52941,0.00158384,3.42975
0.68539,0.520549,0.00155246,0.159726,-0.109584,-0.0107379,2.35412,-1.44706,0.00155246,3.3934
0.700217,0.52841,0.00153628,0.158575,-0.108817,-0.0108337,2.35412,-0.494118,0.00153628,3.36916
0.711016,0.541577,0.00150918,0.157041,-0.13547,-0.0108337,2.35412,-1.10588,0.00150918,3.33684
0.720835,0.547958,0.00149605,0.155603,-0.143044,-0.0108337,2.25794,-1.74118,0.00149605,3.30653
0.735148,0.555664,0.00148019,0.154261,-0.1394,-0.0108337,2.23046,-2.44706,0.00148019,3.27824
0.745536,0.567961,0.00145489,0.152248,-0.159151,-0.0107379,2.20756,-1.55294,0.00145489,3.23579
0.760708,0.575524,0.00143932,0.150522,-0.170464,-0.0107379,2.23504,-3.05882,0.00143932,3.19939
0.776296,0.590301,0.00140891,0.147837,-0.188392,-0.0105461,2.2213,-1.35294,0.00140891,3.14275
