time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.020487,0.00777094,0.00260773,-0.0356651,-0.335271,0.00210922,-0.87478,-2.44706,0.00260773,-0.76078
0.032499,0.016856,0.00258903,-0.0408422,-0.208526,0.0058483,-2.85334,-8.92941,0.00258903,-0.871158
0.047015,0.025852,0.00257052,-0.0432391,-0.205841,0.00699879,-3.24264,-5.74118,0.00257052,-0.922252
0.059646,0.0385143,0.00254446,-0.0457318,-0.153877,0.00747816,-3.47164,-3.4,0.00254446,-0.975383
0.078976,0.0474553,0.00252606,-0.0475534,-0.125786,0.00699879,-3.23806,-5.04706,0.00252606,-1.01421
0.092528,0.0632961,0.00249346,-0.050142,-0.194528,0.00575243,-2.66556,-5.95294,0.00249346,-1.06937
0.118942,0.073033,0.00247342,-0.0529223,-0.235945,0.00517719,-2.0381,-9.48235,0.00247342,-1.12861
0.1395,0.0947314,0.00242877,-0.0598253,-0.325875,0.00517719,-1.91902,-7.15294,0.00242877,-1.27566
0.152016,0.109545,0.00239828,-0.0666323,-0.347638,0.00575243,-2.48694,-6.04706,0.00239828,-1.4206
0.167301,0.118472,0.00237991,-0.0705631,-0.354445,0.0058483,-2.65182,-6.16471,0.00237991,-1.50427
0.178925,0.130072,0.00235604,-0.0761238,-0.343132,0.00594418,-2.59686,-3.82353,0.00235604,-1.62259
0.198624,0.1385,0.0023387,-0.079767,-0.374195,0.00575243,-2.40908,-6.45882,0.0023387,-1.70009
0.211021,0.154626,0.00230551,-0.0868617,-0.379085,0.00536893,-2.15718,-6.87059,0.00230551,-1.85093
0.224234,0.162965,0.00228835,-0.0913677,-0.400273,0.00546481,-2.09764,-5.42353,0.00228835,-1.94669
0.236022,0.173927,0.00226579,-0.0957779,-0.387043,0.00546481,-2.09306,-7.23529,0.00226579,-2.04037
0.249626,0.182929,0.00224726,-0.100572,-0.381865,0.00536893,-2.03352,-7.71765,0.00224726,-2.14216
0.271499,0.200243,0.00221163,-0.105749,-0.404012,0.00527306,-2.08848,-6.12941,0.00221163,-2.25203
0.297783,0.210043,0.00219146,-0.114186,-0.392699,0.00556068,-2.39076,-6.12941,0.00219146,-2.43095
0.315448,0.230647,0.00214906,-0.123869,-0.35713,0.0058483,-2.5648,-5.08235,0.00214906,-2.63609
0.329889,0.245941,0.00211759,-0.130101,-0.359527,0.00575243,-2.23046,-5.61176,0.00211759,-2.76798
0.354233,0.254377,0.00210023,-0.134894,-0.370456,0.00556068,-2.11596,-5.08235,0.00210023,-2.86936
0.368122,0.275179,0.00205742,-0.14266,-0.321848,0.00565655,-2.15718,-5.96471,0.00205742,-3.03345
0.386314,0.283665,0.00203995,-0.146975,-0.299126,0.00565655,-2.2442,-3.91765,0.00203995,-3.12454
0.398303,0.298274,0.00200989,-0.152248,-0.281677,0.00556068,-2.18466,-4.48235,0.00200989,-3.23579
0.410314,0.306844,0.00199225,-0.155411,-0.278322,0.00546481,-2.22588,-3.97647,0.00199225,-3.30249
0.423339,0.317035,0.00197128,-0.158384,-0.254737,0.00546481,-2.36328,-7.10588,0.00197128,-3.36512
0.443599,0.326853,0.00195107,-0.161356,-0.240068,0.00536893,-2.50526,-4.81176,0.00195107,-3.42773
0.460281,0.346332,0.00191099,-0.16567,-0.20191,0.00575243,-2.6564,-3.84706,0.00191099,-3.51855
0.478564,0.354773,0.00189362,-0.168834,-0.159438,0.00575243,-2.76174,-4.51765,0.00189362,-3.58511
0.492356,0.370506,0.00186124,-0.171518,-0.133648,0.00565655,-2.66098,-3.88235,0.00186124,-3.64156
0.511548,0.385378,0.00183063,-0.17334,-0.12128,0.00565655,-2.39534,-3.24706,0.00183063,-3.67985
0.534812,0.398487,0.00180366,-0.175449,-0.0826432,0.00565655,-2.39076,-4.88235,0.00180366,-3.72417
