time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.041491,0.0314745,0.0314745,-0.00613592,-0.0754527,-0.00316384,-0.24274,-10.7529,-0.24274,-0.126986
0.049614,0.0376164,0.0376164,-0.0132306,-0.107475,0.0018216,-1.97398,-2.41176,-1.97398,-0.273808
0.05738,0.0436497,0.0436497,-0.0139017,-0.0467864,0.0018216,-1.56636,2.67059,-1.56636,-0.287696
0.06538,0.049775,0.049775,-0.0139017,0.0471699,0.00124636,-0.81066,5.30588,-0.81066,-0.287696
0.073384,0.0558989,0.0558989,-0.0134223,0.110542,0.000191748,0.02748,3.81176,0.02748,-0.277776
0.081483,0.0620812,0.0620812,-0.0126553,0.0985583,-0.00115049,0.79692,-1.47059,0.79692,-0.261904
0.089377,0.0681403,0.0681403,-0.012176,0.041801,-0.00230097,1.1679,-5.41176,1.1679,-0.251984
0.097366,0.0742616,0.0742616,-0.0125595,-0.122335,-0.00258859,0.98012,-7.03529,0.98012,-0.25992
0.105371,0.0803929,0.0803929,-0.0136141,-0.193761,-0.00230097,0.37556,-3.97647,0.37556,-0.281744
0.113474,0.0865788,0.0865788,-0.0149563,-0.209772,-0.00162985,-0.2748,-5.4,-0.2748,-0.30952
0.121366,0.0926446,0.0926446,-0.0165862,-0.158384,-0.000862864,-0.68242,5.17647,-0.68242,-0.343247
0.129361,0.0987725,0.0987725,-0.017449,-0.0491833,-0.000575243,-0.50838,3.52941,-0.50838,-0.361102
0.13846,0.105718,0.105718,-0.0175449,0.0437185,-0.000958738,0.17862,5.90588,0.17862,-0.363085
0.145475,0.111104,0.111104,-0.0170655,0.0608799,-0.0018216,0.86104,1.16471,0.86104,-0.353166
0.153374,0.117172,0.117172,-0.0167779,0.0356651,-0.00239684,1.18164,-1.38824,1.18164,-0.347214
0.161378,0.123311,0.123311,-0.0167779,-0.032693,-0.00278034,1.14958,-7.49412,1.14958,-0.347214
0.16952,0.129533,0.129533,-0.017449,-0.158096,-0.00249272,0.49922,-4.67059,0.49922,-0.361102
0.177494,0.135648,0.135648,-0.0186954,-0.181968,-0.0018216,-0.24274,-6.47059,-0.24274,-0.386892
0.185392,0.141725,0.141725,-0.0200376,-0.159918,-0.000958738,-0.76028,2.61176,-0.76028,-0.414665
0.193365,0.147843,0.147843,-0.0209964,-0.0597294,-0.000383495,-0.83356,5.24706,-0.83356,-0.434502
0.201587,0.154127,0.154127,-0.0210922,0.0626056,-0.000575243,-0.2519,7.30588,-0.2519,-0.436486
0.209509,0.160208,0.160208,-0.020517,0.116391,-0.00115049,0.49922,5.71765,0.49922,-0.424584
0.217368,0.166258,0.166258,-0.01975,0.0847524,-0.00201335,1.00302,2.10588,1.00302,-0.408713
0.225377,0.172406,0.172406,-0.0192706,0.0436226,-0.00249272,1.07172,-5.49412,1.07172,-0.398794
0.233615,0.178706,0.178706,-0.0195583,-0.122814,-0.00239684,0.4351,-4.44706,0.4351,-0.404746
0.241404,0.184701,0.184701,-0.020517,-0.187242,-0.00162985,-0.46258,-5.24706,-0.46258,-0.424584
0.249368,0.190825,0.190825,-0.0218592,-0.15196,-0.000575243,-1.14042,0.588235,-1.14042,-0.452356
0.257364,0.196966,0.196966,-0.022818,-0.0626056,0.000287621,-1.3053,5.8,-1.3053,-0.472193
0.266526,0.203983,0.203983,-0.0229138,0.0854236,0.000287621,-0.82898,9.52941,-0.82898,-0.474176
0.274385,0.210039,0.210039,-0.0219551,0.209197,-0.000575243,0.1832,4.51765,0.1832,-0.45434
0.282377,0.216181,0.216181,-0.0204211,0.175833,-0.0018216,0.98928,0.0823529,0.98928,-0.4226
0.290374,0.222326,0.222326,-0.0192706,0.0770825,-0.00268447,1.3053,-8.14118,1.3053,-0.398794
0.298501,0.228551,0.228551,-0.0190789,-0.0300085,-0.00278034,0.88394,-8.21176,0.88394,-0.394827
0.306387,0.234631,0.234631,-0.0196541,-0.152631,-0.0022051,-0.05496,-3.34118,-0.05496,-0.40673
0.314367,0.240766,0.240766,-0.0208046,-0.174778,-0.00124636,-0.87936,-2.47059,-0.87936,-0.430535
0.323172,0.247496,0.247496,-0.022051,-0.113323,0,-1.43812,4.84706,-1.43812,-0.456323
0.330512,0.25316,0.25316,-0.0225303,-0.0454442,0.000575243,-1.30988,9.11765,-1.30988,-0.466242
0.33838,0.259231,0.259231,-0.022051,0.174586,0.000287621,-0.51754,7.52941,-0.51754,-0.456323
0.346374,0.265378,0.265378,-0.0206129,0.210826,-0.00076699,0.3893,1.94118,0.3893,-0.426567
0.354569,0.271591,0.271591,-0.0191748,0.149659,-0.00191748,0.98012,0.294118,0.98012,-0.396811
