time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.007867,-5,-5,-0.220318,0.00671117,0.0135182,-4.38764,-5.92941,-4.38764,-4.52284
0.015758,-5,-5,-0.220318,0.137387,0.0135182,-4.01208,24.6118,-4.01208,-4.52284
0.023738,-5,-5,-0.218688,0.263845,0.0122718,-3.10066,-8.58823,-3.10066,-4.48991
0.032115,-5,-5,-0.217058,0.0772743,0.0110255,-2.94036,-10.6118,-2.94036,-4.45698
0.03988,-5,-5,-0.216771,0.00393083,0.0109296,-3.40294,-8.41177,-3.40294,-4.45117
0.047753,-5,-5,-0.217154,-0.136524,0.0115049,-4.1449,-9.41177,-4.1449,-4.45892
0.055733,-5,-5,-0.218401,-0.201239,0.0127512,-5.04716,-4.88235,-5.04716,-4.4841
0.06416,-5,-5,-0.219743,-0.172765,0.0141893,-5.73874,-5.42353,-5.73874,-4.51122
0.071821,-5,-5,-0.220893,-0.0824515,0.0153398,-6.02728,0.588235,-6.02728,-4.53445
0.079756,-5,-5,-0.221181,-0.00162985,0.0157233,-5.83034,0.564706,-5.83034,-4.54026
0.08775,-5,-5,-0.220701,0.0974078,0.0153398,-5.27158,-1.01176,-5.27158,-4.53058
0.095856,-5,-5,-0.219934,0.110926,0.0146687,-4.70824,-5.47059,-4.70824,-4.51509
0.103754,-5,-5,-0.219168,0.0641396,0.0139976,-4.3281,-4.54118,-4.3281,-4.4996
0.111754,-5,-5,-0.218976,0.0264612,0.0136141,-4.3052,-9.76471,-4.3052,-4.49573
0.119749,-5,-5,-0.219359,-0.097216,0.0138058,2.35412,-7.37647,2.35412,-4.50347
0.127883,-5,-5,-0.220222,-0.11965,0.0142852,-5.15708,-6.83529,-5.15708,-4.5209
0.135758,-5,-5,-0.221085,-0.106708,0.0147646,-5.50058,-4.75294,-5.50058,-4.53832
0.14375,-5,-5,-0.221756,-0.0439102,0.0150522,-5.39066,-3.34118,-5.39066,-4.55187
0.151832,-5,-5,-0.221756,0.0133265,0.0147646,-4.91892,-3.87059,-4.91892,-4.55187
0.159825,-5,-5,-0.221468,0.0464988,0.0141893,-4.42428,-4.22353,-4.42428,-4.54607
0.167727,-5,-5,-0.221277,0.0261735,0.01371,-4.08994,-3.10588,-4.08994,-4.5422
0.17576,-5,-5,-0.221277,0.0191748,0.0133265,-3.9388,-7.87059,-3.9388,-4.5422
0.18505,-5,-5,-0.221564,-0.0834102,0.0132306,-4.10826,-10.4471,-4.10826,-4.548
0.192811,-5,-5,-0.222427,-0.109584,0.0136141,-4.52046,-9.45882,-4.52046,-4.56542
0.200745,-5,-5,-0.22329,-0.12176,0.0139976,-4.83648,-6.2,-4.83648,-4.58284
0.208758,-5,-5,-0.224153,-0.0799588,0.0142852,-4.95098,-3.36471,-4.95098,-4.60025
0.216893,-5,-5,-0.224632,-0.0341311,0.0142852,-4.70366,-1.74118,-4.70366,-4.60992
0.224744,-5,-5,-0.224536,0.0119842,0.0139976,-4.25482,-6.41176,-4.25482,-4.60799
0.232751,-5,-5,-0.224441,0.0173532,0.0136141,-3.9388,-4.78824,-3.9388,-4.60605
0.240746,-5,-5,-0.224632,-0.0100667,0.0133265,-3.81056,-8.76471,-3.81056,-4.60992
0.248883,-5,-5,-0.22492,-0.0571408,0.0132306,-3.87926,-7.2,-3.87926,-4.61573
0.256842,-5,-5,-0.225495,-0.0869575,0.0134223,-4.17238,-7.61176,-4.17238,-4.62733
0.264734,-5,-5,-0.226166,-0.0963532,0.01371,-4.5113,-5.94118,-4.5113,-4.64087
0.272725,-5,-5,-0.226837,-0.0764114,0.0139976,2.35412,-4.97647,2.35412,-4.6544
0.280857,-5,-5,-0.227413,-0.040267,0.0140934,-4.65786,-5.56471,-4.65786,-4.666
0.28884,-5,-5,-0.227509,-0.0258859,0.0139976,-4.45634,-4,-4.45634,-4.66793
0.29673,-5,-5,-0.227509,-0.0194624,0.0138058,-4.22734,-6.12941,-4.22734,-4.66793
0.305839,-5,-5,-0.227509,-0.016682,0.0136141,-4.01666,-5.91765,-4.01666,-4.66793
0.312868,-5,-5,-0.227509,-0.0154357,0.0134223,-3.88384,-6.97647,-3.88384,-4.66793
0.32076,-5,-5,-0.227604,-0.0154357,0.0133265,-3.86552,-6.31765,-3.86552,-4.66987
0.328736,-5,-5,-0.227604,-0.0126553,0.0133265,-3.86094,-6.36471,-3.86094,-4.66987
0.336883,-5,-5,-0.227604,-0.0120801,0.0133265,-3.83346,-6.65882,-3.83346,-4.66987
0.344796,-5,-5,-0.227604,-0.0120801,0.0133265,-3.87926,-5.90588,-3.87926,-4.66987
0.352742,-5,-5,-0.227604,-0.0113131,0.0133265,-4.00292,-6.43529,-4.00292,-4.66987
0.360823,-5,-5,-0.227604,-0.010642,0.0134223,-4.1449,-5.84706,-4.1449,-4.66987
0.36888,-5,-5,-0.227604,-0.00997088,0.0135182,-4.26398,-6.4,-4.26398,-4.66987
0.376767,-5,-5,-0.227509,-0.00929976,0.0136141,-4.39222,-6.04706,-4.39222,-4.66793
0.384726,-5,-5,-0.227509,-0.00929976,0.0138058,-4.53878,-2.41176,-4.53878,-4.66793
0.392738,-5,-5,-0.227413,-0.00153398,0.0139017,-4.66244,-6.45882,-4.66244,-4.666
0.400973,-5,-5,-0.227413,0.00172573,0.0139976,-4.7174,-5.67059,-4.7174,-4.666
0.408737,-5,-5,-0.227317,0.0036432,0.0140934,-4.79526,-6.63529,-4.79526,-4.66407
0.416738,-5,-5,-0.227317,0.0036432,0.0141893,-4.9006,-6.63529,-4.9006,-4.66407
0.424744,-5,-5,-0.227317,0.0036432,0.0142852,-4.9464,-5.91765,-4.9464,-4.66407
0.432853,-5,-5,-0.227317,0.00345146,0.0143811,-4.95098,-5.94118,-4.95098,-4.66407
0.44074,-5,-5,-0.227317,0.00345146,0.0143811,-4.92808,-5.70588,-4.92808,-4.66407
0.448744,-5,-5,-0.227317,0.00325971,0.0143811,-4.91434,-6.29412,-4.91434,-4.66407
0.456735,-5,-5,-0.227317,0.00306796,0.0143811,-4.88228,-6.70588,-4.88228,-4.66407
0.464869,-5,-5,-0.227317,0.00278034,0.0143811,-4.81816,-7.03529,-4.81816,-4.66407
0.472756,-5,-5,-0.227317,0.00278034,0.0142852,-4.74488,-7.57647,-4.74488,-4.66407
0.480737,-5,-5,-0.227317,0.00249272,0.0142852,-4.70824,-7.02353,-4.70824,-4.66407
0.489649,-5,-5,-0.227317,0.00249272,0.0141893,-4.63038,-6.61176,-4.63038,-4.66407
0.496814,-5,-5,-0.227413,0.0022051,0.0140934,-4.5342,-7.42353,-4.5342,-4.666
