time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,current_lpf,tau_mod
0.00854,-9.99398,0,-0.665172,-0.00412257,0.028091,-12.8561,-13.7765,0,-11.5196
0.016555,-9.99348,0,-0.665172,-0.00412257,0.028091,-12.9019,-13.7765,0,-11.5196
0.026379,-9.99297,0,-0.665172,-0.00383495,0.0281869,-12.9339,-13.7529,0,-11.5196
0.034721,-9.99228,0,-0.665172,-0.00354733,0.0281869,-12.966,-13.7294,0,-11.5196
0.042664,-9.99172,0,-0.665172,-0.00335558,0.0281869,-12.998,-13.7765,0,-11.5196
0.050574,-9.99114,0,-0.665172,-0.00316384,0.0281869,-13.0118,-13.7882,0,-11.5196
0.058862,-9.99053,0,-0.665172,-0.00297209,0.0282828,-13.0255,-13.7765,0,-11.5196
0.067462,-9.98983,0,-0.665172,-0.00297209,0.0282828,-13.0484,-13.7647,0,-11.5196
0.075472,-9.98919,0,-0.665172,-0.00278034,0.0282828,-13.0484,-13.7882,0,-11.5196
0.083502,-9.98852,0,-0.665172,-0.00258859,0.0282828,-13.0347,-13.7059,0,-11.5196
0.091815,-9.98783,0,-0.665172,-0.00249272,0.0282828,-13.0255,-13.7294,0,-11.5196
0.100618,-9.98703,0,-0.665172,-0.00230097,0.0282828,-13.0164,-13.7529,0,-11.5196
0.108542,-9.98631,0,-0.665172,-0.0022051,0.0282828,2.35412,-13.7647,0,-11.5196
0.118321,-9.98556,0,-0.665172,-0.0022051,0.0282828,-12.9843,-13.7647,0,-11.5196
0.12655,-9.98459,0,-0.665172,-0.00201335,0.0281869,-12.9889,-13.7529,0,-11.5196
0.134496,-9.9838,0,-0.665172,-0.00191748,0.0281869,-12.9751,-13.7882,0,-11.5196
0.14257,-9.98299,0,-0.665172,-0.0018216,0.0282828,-12.9751,-13.7529,0,-11.5196
0.150705,-9.98215,0,-0.665172,-0.00172573,0.0281869,-12.9797,-13.7412,0,-11.5196
0.158558,-9.9813,0,-0.665172,-0.00153398,0.0282828,-12.9706,-13.7882,0,-11.5196
0.166502,-9.98043,0,-0.665172,-0.00153398,0.0282828,-12.9797,-13.7765,0,-11.5196
0.174504,-9.97954,0,-0.665172,-0.00143811,0.0282828,-12.9889,-13.7294,0,-11.5196
0.182898,-9.9786,0,-0.665172,-0.00143811,0.0282828,-12.998,-13.7294,0,-11.5196
0.1915,-9.97758,0,-0.665172,-0.00134223,0.0282828,-13.0026,-13.7647,0,-11.5196
0.199522,-9.97662,0,-0.665172,-0.00124636,0.0282828,-12.998,-13.7412,0,-11.5196
0.207466,-9.97565,0,-0.665172,-0.00115049,0.0282828,-12.998,-13.7529,0,-11.5196
