time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,current_lpf,tau_mod
0.010428,-12.9146,0,-0.735352,0.363937,0.0333641,-14.2072,-3.45882,0,-12.521
0.019041,-12.9028,0,-0.731517,0.364416,0.0332682,-14.198,-12.1176,0,-12.4678
0.028028,-12.8907,0,-0.728833,0.350419,0.0333641,-14.2392,-10.4353,0,-12.4305
0.03888,-12.8785,0,-0.725861,0.362691,0.0335558,-14.3262,-6.09412,0,-12.389
0.048027,-12.8635,0,-0.722121,0.383687,0.0335558,-14.2301,-9.88235,0,-12.3368
0.056939,-12.8513,0,-0.718862,0.381865,0.03346,-14.0056,-9.09412,0,-12.291
0.065969,-12.839,0,-0.715506,0.362882,0.0331723,-13.8041,-6.31765,0,-12.2438
0.075059,-12.8265,0,-0.712246,0.344954,0.0329806,-13.6896,-10.6706,0,-12.1979
0.083969,-12.8142,0,-0.709178,0.322711,0.0329806,-13.7171,-6.65882,0,-12.1545
0.092852,-12.8019,0,-0.706302,0.30996,0.0329806,-13.8133,-10.2353,0,-12.1137
0.101314,-12.7904,0,-0.703618,0.320602,0.0330765,-13.9782,-10.5412,0,-12.0755
0.110013,-12.7782,0,-0.700933,0.333545,0.0331723,-14.1064,-10.5529,0,-12.0373
0.118884,-12.7658,0,-0.698441,0.336325,0.0332682,-14.1201,-10.6118,0,-12.0017
0.130196,-12.7533,0,-0.69566,0.329422,0.0331723,-14.1018,-11.1647,0,-11.9619
0.139415,-12.7379,0,-0.692209,0.316671,0.0330765,-14.0102,-10.2471,0,-11.9124
0.147906,-12.7253,0,-0.689141,0.295675,0.0328847,-13.8866,-8.70588,0,-11.8682
0.156889,-12.7127,0,-0.68684,0.275829,0.0327888,-13.8453,-10.3176,0,-11.835
0.165977,-12.7,0,-0.684347,0.264899,0.032693,-13.8499,-6.45882,0,-11.799
0.174843,-12.6874,0,-0.682142,0.249847,0.0327888,-13.9278,-11.5294,0,-11.7671
0.182898,-12.6761,0,-0.680033,0.248313,0.0327888,-14.0377,-7,0,-11.7365
0.192491,-12.6646,0,-0.678211,0.23422,0.0328847,-14.0194,-8.64706,0,-11.7101
0.201075,-12.6505,0,-0.676006,0.242848,0.0329806,-13.9507,-7.81176,0,-11.678
0.209886,-12.6377,0,-0.67428,0.243328,0.0329806,-13.8041,-5.45882,0,-11.6529
0.220606,-12.6249,0,-0.672267,0.228659,0.0328847,-13.6255,-11.0353,0,-11.6235
0.228888,-12.6105,0,-0.669966,0.209293,0.0327888,-13.4744,-7.85882,0,-11.5898
0.237774,-12.5976,0,-0.66824,0.202198,0.0325971,-13.3736,-6.25882,0,-11.5646
0.245848,-12.5861,0,-0.666515,0.184174,0.0325971,-13.4148,-9.68235,0,-11.5393
0.254307,-12.5745,0,-0.665077,0.173723,0.0325971,-13.4286,-11.6118,0,-11.5182
0.262815,-12.5616,0,-0.663543,0.160205,0.0325971,-12.9522,-8.21176,0,-11.4956
0.270924,-12.55,0,-0.662296,0.148509,0.032693,-13.6209,-10.9412,0,-11.4773
0.279209,-12.5383,0,-0.661146,0.136333,0.032693,-13.6988,-10.5529,0,-11.4603
0.287877,-12.5252,0,-0.659995,0.14103,0.032693,-13.6896,-2.32941,0,-11.4434
0.295931,-12.5136,0,-0.658845,0.135182,0.032693,-13.6392,-11.5882,0,-11.4264
0.303775,-12.502,0,-0.65779,0.122718,0.032693,-13.5934,-11.3882,0,-11.4109
0.31373,-12.4897,0,-0.656927,0.108337,0.032693,-13.566,-9.25882,0,-11.3981
0.322011,-12.4756,0,-0.655969,0.0800546,0.032693,-13.5568,-8,0,-11.3839
0.33091,-12.4623,0,-0.655202,0.0975995,0.0325971,-13.4927,-9.4,0,-11.3726
0.338885,-12.4505,0,-0.654339,0.0870534,0.0325012,-13.3141,-12.4118,0,-11.3598
0.346921,-12.4386,0,-0.653763,0.0850401,0.0325012,-13.2637,-10.7294,0,-11.3513
0.3559,-12.4254,0,-0.653092,0.0736311,0.0324053,-13.1858,-9.76471,0,-11.3413
0.363863,-12.4135,0,-0.652517,0.0679745,0.0323095,-13.0713,-10.3765,0,-11.3328
0.373666,-12.4016,0,-0.652038,0.060784,0.0323095,-13.0438,-11.7176,0,-11.3257
0.381925,-12.3866,0,-0.651558,0.0278034,0.0323095,-13.1217,-9.25882,0,-11.3186
0.390884,-12.3732,0,-0.651367,0.0241602,0.0324053,-13.2499,-9.68235,0,-11.3157
0.398859,-12.3613,0,-0.651175,0.0315425,0.0324053,-13.2499,-10.1529,0,-11.3129
0.406971,-12.3491,0,-0.650887,0.0262694,0.0324053,-13.195,-12.1294,0,-11.3086
0.414895,-12.3371,0,-0.650791,0.0184078,0.0324053,-13.2316,-11.1765,0,-11.3072
0.422795,-12.3252,0,-0.650791,0.0128471,0.0324053,-13.2637,-11.3059,0,-11.3072
0.430864,-12.3131,0,-0.650695,0.0115049,0.0324053,-13.2408,-10.6471,0,-11.3058
0.441959,-12.2963,0,-0.650695,0.00939563,0.0324053,-13.1767,-10.7765,0,-11.3058
0.450904,-12.2828,0,-0.650695,0.00747816,0.0323095,-13.0347,-11.3647,0,-11.3058
0.458854,-12.2706,0,-0.650695,0.00747816,0.0322136,-12.9019,-12.6471,0,-11.3058
0.467045,-12.2582,0,-0.650695,0.00719053,0.0321177,-12.8103,-13.0824,0,-11.3058
0.475854,-12.2447,0,-0.650791,0.00671117,0.0320218,-12.6866,-12.6941,0,-11.3072
0.483891,-12.2324,0,-0.650791,0.00632767,0.0318301,-12.5629,-12.7176,0,-11.3072
0.491853,-12.2202,0,-0.650791,0.0058483,0.0317342,-12.4805,-12.2941,0,-11.3072
0.499905,-12.2077,0,-0.650791,0.00556068,0.0316384,-12.3981,-12.4588,0,-11.3072
0.508806,-12.194,0,-0.650791,0.00556068,0.0314466,-12.3477,-13.6235,0,-11.3072
0.516849,-12.1816,0,-0.650791,0.00191748,0.0314466,-12.3248,-13.5294,0,-11.3072
0.524998,-12.1692,0,-0.650887,-0.000575243,0.0314466,-12.3385,-13.5647,0,-11.3086
0.533985,-12.1552,0,-0.650887,-0.00124636,0.0314466,-12.3477,-14.1412,0,-11.3086
0.542823,-12.1414,0,-0.650887,-0.00172573,0.0314466,-12.3752,-13.7765,0,-11.3086
0.550854,-12.1289,0,-0.650887,-0.00172573,0.0314466,-12.4301,-13.9176,0,-11.3086
0.559061,-12.1163,0,-0.650983,-0.00172573,0.0314466,-12.4897,-14.5412,0,-11.31
0.567908,-12.1023,0,-0.650887,-0.00172573,0.0314466,-12.5446,-14.2,0,-11.3086
0.575898,-12.0899,0,-0.650887,-0.00162985,0.0315425,-12.6133,-14.2,0,-11.3086
0.583865,-12.0773,0,-0.650887,-0.00153398,0.0315425,-12.6729,-14.0706,0,-11.3086
0.591976,-12.0646,0,-0.650887,-0.00143811,0.0316384,-12.7324,-14.3647,0,-11.3086
0.600877,-12.0506,0,-0.650887,-0.00143811,0.0316384,-12.769,-14.4,0,-11.3086
0.608922,-12.0379,0,-0.650887,-0.00134223,0.0317342,-12.7919,-14.4588,0,-11.3086
0.617002,-12.0253,0,-0.650887,-0.00124636,0.0316384,-12.8011,-14.0706,0,-11.3086
0.625975,-12.011,0,-0.650887,-0.00115049,0.0317342,-12.8057,-14.1647,0,-11.3086
0.634982,-11.9968,0,-0.650887,-0.00115049,0.0316384,-12.7782,-14.1176,0,-11.3086
0.644037,-11.9824,0,-0.650887,-0.00105461,0.0316384,-12.7507,-14.1647,0,-11.3086
0.65311,-11.9679,0,-0.650887,-0.000958738,0.0316384,-12.7141,-14.1529,0,-11.3086
0.661926,-11.9537,0,-0.650887,-0.000958738,0.0316384,-12.6774,-14.0706,0,-11.3086
0.66996,-11.9409,0,-0.650887,-0.000958738,0.0315425,-12.65,-14.1176,0,-11.3086
0.679742,-11.9281,0,-0.650887,-0.000862864,0.0315425,-12.6362,-14.0706,0,-11.3086
0.687845,-11.912,0,-0.650887,-0.000862864,0.0315425,-12.6225,-14.2235,0,-11.3086
0.695889,-11.8991,0,-0.650887,-0.00076699,0.0315425,-12.6225,-14.1647,0,-11.3086
0.703877,-11.8863,0,-0.650887,-0.00076699,0.0315425,-12.6362,-14.0706,0,-11.3086
0.712022,-11.8731,0,-0.650887,-0.00076699,0.0315425,-12.6316,-14.6235,0,-11.3086
0.720866,-11.8587,0,-0.650887,-0.000671117,0.0315425,-12.6408,-14.6706,0,-11.3086
0.72884,-11.8458,0,-0.650887,-0.000671117,0.0315425,-12.6637,-14.5059,0,-11.3086
0.736826,-11.8328,0,-0.650887,-0.000575243,0.0315425,-12.6729,-14.4471,0,-11.3086
0.744925,-11.8196,0,-0.650887,-0.000575243,0.0315425,-12.6729,-14.2235,0,-11.3086
0.752866,-11.8067,0,-0.650887,-0.000575243,0.0316384,-12.6683,-14.2,0,-11.3086
0.760827,-11.7936,0,-0.650887,0.00306796,0.0315425,-12.5996,-11.3059,0,-11.3086
0.768811,-11.7805,0,-0.650791,0.00786165,0.0315425,-12.5217,-11.1529,0,-11.3072
0.776923,-11.7673,0,-0.650791,0.00747816,0.0314466,-12.5217,-11.2941,0,-11.3072
0.784787,-11.7542,0,-0.650791,0.00728641,0.0314466,-12.54,-12.2118,0,-11.3072
0.792826,-11.7411,0,-0.650791,0.00680704,0.0315425,-12.5492,-9.77647,0,-11.3072
0.802538,-11.7256,0,-0.650791,0.00613592,0.0315425,-12.5263,-10.2353,0,-11.3072
0.811923,-11.7096,0,-0.650695,0.00565655,0.0314466,-12.5263,-11.1765,0,-11.3058
0.820899,-11.6948,0,-0.650695,0.00546481,0.0315425,-12.5813,-11.6118,0,-11.3058
0.828865,-11.6815,0,-0.650695,0.00613592,0.0315425,-12.5629,-10.8824,0,-11.3058
0.83693,-11.6681,0,-0.6506,0.00613592,0.0315425,-12.5767,-10.3529,0,-11.3044
0.845862,-11.6532,0,-0.6506,0.00527306,0.0315425,-12.5996,-10.6235,0,-11.3044
0.85385,-11.6399,0,-0.6506,0.00498544,0.0315425,-12.6316,-10.8706,0,-11.3044
0.862091,-11.6264,0,-0.6506,0.00479369,0.0315425,-12.6866,-11.5882,0,-11.3044
0.8709,-11.6113,0,-0.6506,0.00431432,0.0315425,-12.7141,-10.9647,0,-11.3044
0.879825,-11.5964,0,-0.650504,0.0113131,0.0316384,-12.6545,-10.7882,0,-11.3029
0.887883,-11.5829,0,-0.650312,0.0249272,0.0315425,-12.508,-12.3294,0,-11.3001
0.897163,-11.5676,0,-0.65012,0.0181201,0.0314466,-12.4713,-10.3765,0,-11.2972
0.905916,-11.5525,0,-0.65012,0.0127512,0.0314466,-12.5309,-10.0353,0,-11.2972
0.914881,-11.5373,0,-0.650024,0.00958738,0.0315425,-12.5721,-8.98824,0,-11.2958
0.923601,-11.5239,0,-0.650024,0.010642,0.0315425,-12.5858,-8.97647,0,-11.2958
0.931896,-11.5085,0,-0.649833,0.0151481,0.0315425,-12.5492,-8.91765,0,-11.293
0.940805,-11.4932,0,-0.649737,0.0140934,0.0314466,-12.5263,-9.34118,0,-11.2915
0.948791,-11.4797,0,-0.649641,0.012943,0.0314466,-12.5309,-9,0,-11.2901
0.959366,-11.4617,0,-0.649545,0.0204211,0.0314466,-12.4713,-9.6,0,-11.2887
0.967851,-11.4472,0,-0.649257,0.0185995,0.0314466,-12.4255,-8.52941,0,-11.2844
0.976011,-11.4334,0,-0.649161,0.0143811,0.0314466,-12.453,-7.77647,0,-11.283
0.986149,-11.4166,0,-0.649066,0.0127512,0.0314466,-12.4897,-8.56471,0,-11.2816
0.995023,-11.4008,0,-0.64897,0.012176,0.0314466,-12.5446,-8.85882,0,-11.2801
1.0039,-11.3854,0,-0.648778,0.022818,0.0315425,-12.5263,-8.76471,0,-11.2773
1.01298,-11.3698,0,-0.64849,0.0400752,0.0313507,-12.3752,-11.9059,0,-11.273
1.02205,-11.3542,0,-0.648203,0.0223386,0.0313507,-12.3797,-10.0588,0,-11.2687
1.03094,-11.3388,0,-0.648107,0.0172573,0.0313507,-12.421,-9.94118,0,-11.2673
1.03989,-11.323,0,-0.647915,0.0177367,0.0313507,-12.4759,-9.57647,0,-11.2644
1.0496,-11.3072,0,-0.647723,0.0341311,0.0314466,-12.4393,-10.5647,0,-11.2616
1.05794,-11.2918,0,-0.647436,0.0224345,0.0314466,-12.4622,-7.48235,0,-11.2573
1.06595,-11.2779,0,-0.647244,0.0226262,0.0314466,-12.5263,-7.91765,0,-11.2545
1.07435,-11.2639,0,-0.647052,0.0272282,0.0314466,-12.5355,-8.25882,0,-11.2516
1.08303,-11.2481,0,-0.646765,0.0358568,0.0314466,-12.5034,-9.49412,0,-11.2473
1.09188,-11.2323,0,-0.646573,0.0254066,0.0314466,-12.5309,-7.88235,0,-11.2445
1.0999,-11.2183,0,-0.646285,0.0244478,0.0314466,-12.5904,-8.11765,0,-11.2402
1.10854,-11.2035,0,-0.646094,0.0342269,0.0314466,-12.5813,-8.77647,0,-11.2373
1.11688,-11.1883,0,-0.64571,0.0455401,0.0314466,-12.4713,-9.02353,0,-11.2316
1.12487,-11.1743,0,-0.645327,0.051676,0.0313507,-12.3385,-10.0588,0,-11.2259
1.13285,-11.1602,0,-0.644943,0.0571408,0.031159,-12.1736,-10.1765,0,-11.2202
1.14139,-11.1455,0,-0.64456,0.0426638,0.031159,-12.1645,-9.44706,0,-11.2144
1.14996,-11.1299,0,-0.644176,0.0383495,0.0310631,-12.1828,-8.82353,0,-11.2087
1.15891,-11.114,0,-0.643888,0.0305837,0.031159,-12.3065,-7.2,0,-11.2044
1.16799,-11.0998,0,-0.643601,0.0289539,0.0312549,-12.4576,-6.48235,0,-11.2001
1.17692,-11.0819,0,-0.643217,0.0573325,0.0312549,-12.4164,-10.0824,0,-11.1944
1.18578,-11.0659,0,-0.642738,0.0487039,0.031159,-12.3843,-11.4235,0,-11.1872
1.19387,-11.0516,0,-0.642259,0.0442937,0.031159,-12.4164,-10.4588,0,-11.1801
1.20192,-11.0371,0,-0.642067,0.0276117,0.0312549,-12.5355,-8.18824,0,-11.1772
1.21095,-11.0211,0,-0.641779,0.0305837,0.0313507,-12.6729,-6.10588,0,-11.1729
1.21983,-11.005,0,-0.641396,0.0565655,0.0312549,-12.5767,-11.4471,0,-11.1672
1.22788,-10.9906,0,-0.641012,0.0293374,0.0313507,-12.6637,-7.50588,0,-11.1614
1.23689,-10.9743,0,-0.640725,0.0390206,0.0312549,-12.6683,-7.47059,0,-11.1571
1.24485,-10.9599,0,-0.640341,0.0461153,0.0312549,-12.5446,-9.2,0,-11.1514
1.25281,-10.9455,0,-0.639958,0.0441019,0.031159,-12.4759,-11.1294,0,-11.1457
1.26157,-10.9306,0,-0.639574,0.0488956,0.0310631,-12.3889,-12.0824,0,-11.1399
1.26993,-10.9145,0,-0.639191,0.0461153,0.0310631,-12.3065,-9.15294,0,-11.1342
1.2789,-10.8982,0,-0.638711,0.0567573,0.0308714,-12.192,-9.51765,0,-11.127
1.28681,-10.8837,0,-0.638328,0.0430473,0.0308714,-12.1599,-8.02353,0,-11.1212
1.29492,-10.8689,0,-0.637944,0.0585789,0.0307755,-12.1004,-9.43529,0,-11.1155
1.30392,-10.8527,0,-0.637561,0.0356651,0.0307755,-12.1416,-9.2,0,-11.1097
1.31294,-10.8362,0,-0.637273,0.0439102,0.0308714,-12.2652,-8.18824,0,-11.1054
1.32145,-10.8214,0,-0.636698,0.0484163,0.0308714,-12.2378,-9.4,0,-11.0968
1.32997,-10.8049,0,-0.63641,0.0322136,0.0308714,-12.366,-8.82353,0,-11.0925
1.3389,-10.7885,0,-0.636123,0.0489915,0.0309672,-12.4759,-10.2706,0,-11.0882
1.34688,-10.7738,0,-0.635643,0.0451566,0.0309672,-12.4942,-8.02353,0,-11.081
1.35524,-10.7585,0,-0.63526,0.0562779,0.0309672,-12.4622,-4.32941,0,-11.0752
1.36395,-10.7424,0,-0.63478,0.0497585,0.0309672,-12.3981,-9.85882,0,-11.068
1.37288,-10.7258,0,-0.634397,0.0491833,0.0308714,-12.3706,-8.52941,0,-11.0622
1.38271,-10.711,0,-0.633918,0.0454442,0.0308714,-12.3294,-8.77647,0,-11.055
1.39197,-10.6904,0,-0.633438,0.0587706,0.0308714,-12.3019,-11.5294,0,-11.0478
1.40086,-10.6739,0,-0.632959,0.0324053,0.0307755,-12.3202,-8.92941,0,-11.0406
1.40883,-10.659,0,-0.632767,0.0297209,0.0309672,-12.4393,-9.2,0,-11.0377
1.41693,-10.6439,0,-0.632479,0.0513884,0.0308714,-12.4118,-10.6706,0,-11.0334
1.42489,-10.6291,0,-0.632096,0.049375,0.0308714,-12.3614,-9.04706,0,-11.0276
1.43284,-10.6142,0,-0.631712,0.0610716,0.0307755,-12.2423,-9.83529,0,-11.0218
1.44163,-10.5992,0,-0.631233,0.0429515,0.0306796,-12.1874,-8.82353,0,-11.0146
1.44994,-10.5822,0,-0.631041,0.0301044,0.0306796,-12.2515,-8.30588,0,-11.0117
1.45886,-10.5654,0,-0.630658,0.0413216,0.0307755,-12.2561,-9.89412,0,-11.006
1.46693,-10.5504,0,-0.63037,0.0278034,0.0307755,-12.3523,-8.41177,0,-11.0016
1.47526,-10.5346,0,-0.630083,0.0305837,0.0308714,-12.4347,-6.10588,0,-10.9973
1.48388,-10.5182,0,-0.629891,0.0539769,0.0308714,-12.3431,-10.3765,0,-10.9944
1.49285,-10.5014,0,-0.629411,0.0483204,0.0307755,-12.2881,-9.51765,0,-10.9872
1.50086,-10.4862,0,-0.628932,0.051676,0.0306796,-12.137,-9.67059,0,-10.9799
1.5089,-10.4709,0,-0.628549,0.0430473,0.0306796,-12.1278,-8.11765,0,-10.9741
1.51678,-10.4559,0,-0.628261,0.0548398,0.0306796,-12.0866,-9.41177,0,-10.9698
1.52478,-10.4407,0,-0.627878,0.0476493,0.0305837,-12.0408,-8.87059,0,-10.964
1.53383,-10.4255,0,-0.627494,0.0619345,0.0305837,-11.9813,-10.0353,0,-10.9582
1.54197,-10.4082,0,-0.627015,0.0555109,0.0305837,-11.9446,-7.61176,0,-10.951
1.55089,-10.3912,0,-0.626535,0.0664405,0.0304879,-11.8576,-8.85882,0,-10.9437
1.55885,-10.3759,0,-0.626056,0.0576202,0.0304879,-11.8485,-6.81176,0,-10.9365
1.56722,-10.3603,0,-0.625577,0.0608799,0.0304879,-11.8256,-7.83529,0,-10.9292
1.57597,-10.3433,0,-0.625097,0.0695085,0.030392,-11.8393,-6.28235,0,-10.922
1.58486,-10.3261,0,-0.624426,0.063085,0.030392,-11.8347,-8.74118,0,-10.9118
1.59291,-10.3107,0,-0.623851,0.0764114,0.030392,-11.7614,-6.55294,0,-10.9031
1.60097,-10.2952,0,-0.623276,0.100188,0.030392,-11.6744,-8.02353,0,-10.8944
1.61002,-10.2779,0,-0.622509,0.111693,0.0302961,-11.5599,-9.14118,0,-10.8827
1.61896,-10.2606,0,-0.62155,0.10757,0.0301044,-11.4408,-12.0235,0,-10.8682
1.62813,-10.243,0,-0.620783,0.102393,0.0301044,-11.4729,-8.12941,0,-10.8566
1.63685,-10.2258,0,-0.619824,0.110351,0.0301044,-11.4912,-9.34118,0,-10.842
1.64485,-10.2103,0,-0.618961,0.116678,0.0300085,-11.4729,-8.94118,0,-10.8289
1.65283,-10.1948,0,-0.618003,0.112364,0.0300085,-11.537,-8.12941,0,-10.8143
1.66104,-10.179,0,-0.61714,0.131539,0.0301044,-11.5553,-8.09412,0,-10.8012
1.67002,-10.1616,0,-0.616277,0.139976,0.0300085,-11.5141,-9.32941,0,-10.788
1.67892,-10.1442,0,-0.614935,0.142564,0.0300085,-11.5095,-6.15294,0,-10.7676
1.68906,-10.1246,0,-0.613592,0.154453,0.0299126,-11.4408,-9.43529,0,-10.7471
1.69798,-10.1069,0,-0.612058,0.166629,0.0298168,-11.4042,-8.74118,0,-10.7237
1.70682,-10.0895,0,-0.610524,0.174394,0.0297209,-11.3172,-6.88235,0,-10.7003
1.71489,-10.0738,0,-0.609086,0.171998,0.029625,-11.2851,-9.63529,0,-10.6782
1.72415,-10.0555,0,-0.607648,0.191268,0.029625,-11.2347,-5.70588,0,-10.6562
1.73277,-10.0384,0,-0.606018,0.199513,0.0294333,-11.1569,-5.37647,0,-10.6312
1.74083,-10.0227,0,-0.604388,0.190597,0.0293374,-11.1431,-5.87059,0,-10.6062
1.75002,-10.0066,0,-0.602854,0.20795,0.0294333,-11.1523,-5.88235,0,-10.5826
1.75885,-9.98709,0,-0.601225,0.22329,0.0294333,-11.0744,-5.58824,0,-10.5576
1.76683,-9.97139,0,-0.599307,0.224536,0.0293374,-11.0607,-5.21176,0,-10.528
1.77484,-9.95558,0,-0.597581,0.22492,0.0293374,-11.0561,-3.35294,0,-10.5014
1.78307,-9.93949,0,-0.595856,0.223098,0.0292415,-11.0515,-3.47059,0,-10.4748
1.79189,-9.9217,0,-0.594034,0.235466,0.0292415,-11.0699,-4.90588,0,-10.4466
1.79988,-9.90596,0,-0.591925,0.251189,0.0292415,-11.0607,-7.62353,0,-10.414
1.80789,-9.89005,0,-0.590007,0.252532,0.0291456,-11.0699,-6.57647,0,-10.3843
1.81691,-9.87196,0,-0.587994,0.241602,0.0290498,-11.1157,-5.50588,0,-10.353
1.82485,-9.85617,0,-0.585789,0.257134,0.0290498,-11.1386,-7.91765,0,-10.3187
1.83281,-9.84022,0,-0.583776,0.254353,0.0289539,-11.1157,-7.51765,0,-10.2874
1.84149,-9.82422,0,-0.581762,0.25397,0.0289539,-11.1248,-4.65882,0,-10.256
1.84991,-9.80607,0,-0.579557,0.27161,0.0289539,-11.1248,-7.42353,0,-10.2216
1.85792,-9.79013,0,-0.577544,0.267296,0.0289539,-11.1202,-4.49412,0,-10.1902
1.86586,-9.77407,0,-0.57553,0.274774,0.0290498,-11.0653,-6.64706,0,-10.1587
1.87405,-9.75785,0,-0.573421,0.290306,0.0290498,-10.9737,-3.58824,0,-10.1256
1.88293,-9.73972,0,-0.571791,0.292415,0.0289539,-10.9004,-6.38824,0,-10.1
1.89182,-9.7218,0,-0.568819,0.308522,0.0289539,-10.7813,-6.71765,0,-10.0534
1.89976,-9.70563,0,-0.566231,0.299797,0.028858,-10.6897,-7.23529,0,-10.0126
1.90803,-9.6893,0,-0.563738,0.310823,0.0286663,-10.6256,-6.52941,0,-9.97332
1.9168,-9.6713,0,-0.561341,0.294333,0.0285704,2.35412,-1.6,0,-9.93547
1.92483,-9.65513,0,-0.558657,0.302482,0.0284745,-10.6119,-2.61176,0,-9.89302
1.93286,-9.63892,0,-0.55626,0.306317,0.0284745,-10.6577,-6.97647,0,-9.85506
1.94087,-9.62254,0,-0.554055,0.31159,0.0284745,-10.6622,-5.31765,0,-9.82008
1.94885,-9.6064,0,-0.551658,0.324725,0.0285704,-10.6439,-3.68235,0,-9.78201
1.95682,-9.59015,0,-0.549261,0.330956,0.0285704,-10.5569,-4.43529,0,-9.74389
1.96507,-9.5736,0,-0.546768,0.332107,0.0285704,-10.4745,-7.42353,0,-9.70417
1.97394,-9.55534,0,-0.544851,0.329327,0.0284745,-10.4332,-2.34118,0,-9.67359
1.98304,-9.53697,0,-0.541303,0.32808,0.0283786,-10.4241,-2.04706,0,-9.6169
1.99204,-9.51871,0,-0.538427,0.33853,0.0282828,-10.4607,-3.85882,0,-9.57085
2.00108,-9.50015,0,-0.535551,0.328847,0.0281869,-10.5157,-6.68235,0,-9.52473
2.00992,-9.48181,0,-0.532771,0.335942,0.0281869,-10.5203,-6.62353,0,-9.48006
2.01898,-9.46334,0,-0.52999,0.311398,0.028091,-10.5157,-6.35294,0,-9.43533
2.02878,-9.44317,0,-0.527306,0.339489,0.0281869,-10.534,-4.14118,0,-9.39206
2.03701,-9.42633,0,-0.524334,0.315041,0.0281869,-10.5203,-6.10588,0,-9.34408
2.04603,-9.40776,0,-0.521841,0.325492,0.0281869,-10.4332,-4.83529,0,-9.30378
2.05653,-9.38922,0,-0.519061,0.32367,0.028091,-10.305,-6.83529,0,-9.25876
2.06498,-9.36853,0,-0.515609,0.317918,0.028091,-10.2317,-7.2,0,-9.20277
2.07393,-9.34982,0,-0.513117,0.313603,0.0279951,-10.1905,-6.37647,0,-9.16226
2.08288,-9.33132,0,-0.510336,0.316192,0.0278034,-10.2317,-8.56471,0,-9.11702
2.09093,-9.31449,0,-0.507652,0.303441,0.0278034,-10.2729,-7.49412,0,-9.07326
2.09988,-9.29601,0,-0.505255,0.307084,0.0277075,-10.2455,-6.91765,0,-9.03414
2.10783,-9.27941,0,-0.502666,0.307467,0.0278034,-10.2684,-4.95294,0,-8.99184
2.11788,-9.26268,0,-0.500365,0.29951,0.0277075,-10.218,-3.97647,0,-8.95418
2.12595,-9.24176,0,-0.497489,0.306796,0.0277075,-10.163,-4.81176,0,-8.90704
2.13486,-9.22316,0,-0.495092,0.295867,0.0276117,-10.0623,-4.70588,0,-8.8677
2.14289,-9.20644,0,-0.4926,0.299222,0.0275158,-10.0439,-5.38824,0,-8.82673
2.15089,-9.18952,0,-0.490299,0.288484,0.0274199,-10.0302,-8.32941,0,-8.78887
2.15891,-9.17294,0,-0.488094,0.287909,0.0274199,-10.0348,-5.11765,0,-8.75254
2.16691,-9.1562,0,-0.485888,0.274966,0.027324,-10.1172,-5.57647,0,-8.71617
2.1755,-9.13945,0,-0.483875,0.250326,0.027324,-10.1859,-8.18824,0,-8.68292
2.18388,-9.12041,0,-0.481574,0.256942,0.0272282,-10.1905,-4.14118,0,-8.64488
2.19185,-9.10371,0,-0.479657,0.241123,0.0272282,-10.1813,-6.65882,0,-8.61315
2.19988,-9.08689,0,-0.477835,0.230001,0.0272282,-10.2088,-7.23529,0,-8.58297
2.20821,-9.06959,0,-0.476013,0.238246,0.0272282,-10.1493,-8.47059,0,-8.55277
2.21691,-9.05085,0,-0.474288,0.220414,0.0272282,-10.1126,-5.89412,0,-8.52413
2.22589,-9.03198,0,-0.47237,0.21725,0.0272282,-10.0806,-7.51765,0,-8.49227
2.23393,-9.01511,0,-0.470549,0.215237,0.0272282,-9.96608,-6.43529,0,-8.46198
2.24212,-8.99797,0,-0.468919,0.197308,0.0271323,-9.88364,-7.72941,0,-8.43486
2.25097,-8.97893,0,-0.467385,0.192035,0.0271323,-9.86074,-7.67059,0,-8.40931
2.25991,-8.95997,0,-0.465947,0.190981,0.0272282,-9.86074,-5.07059,0,-8.38534
