time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.025351,0.00250059,0.00522967,0.103256,-0.200951,-0.00546481,1.9007,-8.18824,0.00522967,2.19914
0.049307,0.0220295,0.00518032,0.0980789,-0.146975,-0.00191748,0.5267,1.74118,0.00518032,2.08924
0.062256,0.0405827,0.00513344,0.0969284,9.58738e-05,-0.00306796,-0.70532,2.34118,0.00513344,2.06481
0.093483,0.0487844,0.00511272,0.0969284,0.0162027,-0.00469782,1.31904,-4.02353,0.00511272,2.06481
0.115196,0.0782862,0.00503818,0.0929017,-0.240835,-0.00508131,1.97856,-3.36471,0.00503818,1.97928
0.144425,0.0909324,0.00500622,0.0883956,-0.195966,-0.00393083,0.89768,-1.08235,0.00500622,1.88353
0.160389,0.113158,0.00495006,0.0832185,-0.162602,-0.0040267,0.58166,-2.35294,0.00495006,1.77348
0.17558,0.124754,0.00492076,0.0804381,-0.176983,-0.00441019,1.23202,-2.12941,0.00492076,1.71436
0.189207,0.136651,0.0048907,0.0788083,-0.19146,-0.00450607,1.49766,-2.62353,0.0048907,1.67969
0.203471,0.146272,0.00486639,0.0750692,-0.205458,-0.00460194,1.63964,-0.776471,0.00486639,1.60015
0.214585,0.157621,0.00483771,0.0720012,-0.207567,-0.00460194,1.6488,-0.423529,0.00483771,1.53487
0.228856,0.165706,0.00481729,0.0697961,-0.19424,-0.00450607,1.50682,-0.647059,0.00481729,1.48795
0.241231,0.177886,0.00478651,0.0673993,-0.180914,-0.00441019,1.3969,-2.69412,0.00478651,1.43693
0.251766,0.185911,0.00476623,0.0650983,-0.174586,-0.00441019,1.41522,-1.31765,0.00476623,1.38794
0.274655,0.193869,0.00474612,0.0632767,-0.181681,-0.00441019,1.41522,-0.564706,0.00474612,1.34916
0.29192,0.213053,0.00469765,0.0595376,-0.170559,-0.00450607,1.3969,-1.77647,0.00469765,1.26953
0.308493,0.22911,0.00465708,0.056949,-0.157712,-0.00460194,1.34194,-2.90588,0.00465708,1.21439
0.329973,0.238233,0.00463403,0.0544563,-0.166533,-0.00460194,1.1908,-0.835294,0.00463403,1.16129
0.343725,0.25527,0.00459098,0.0513884,-0.141414,-0.00460194,0.98012,-2.52941,0.00459098,1.09593
