time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.011536,0.00148506,0.00523224,0.0973119,-0.114953,-0.00651942,1.78162,-10.8588,0.00523224,2.07295
0.035271,0.0118774,0.00520598,0.0952986,-0.223674,-0.00517719,1.11294,-2.67059,0.00520598,2.03019
0.060361,0.0294795,0.0051615,0.0916554,-0.0575243,-0.00306796,-0.10076,0.282353,0.0051615,1.9528
0.075734,0.0492957,0.00511143,0.0909842,-0.0325012,-0.00460194,-0.1603,-1.17647,0.00511143,1.93854
0.097019,0.0653934,0.00507075,0.0901214,-0.0829308,-0.00536893,1.44728,-0.776471,0.00507075,1.92021
0.122415,0.0778382,0.00503931,0.0876287,-0.155987,-0.00546481,1.83658,-1.89412,0.00503931,1.86723
0.137961,0.0969615,0.00499099,0.0836978,-0.157617,-0.00488956,1.42438,-1.57647,0.00499099,1.78367
0.159375,0.11442,0.00494687,0.0814927,-0.153494,-0.00479369,0.9618,-1.83529,0.00494687,1.73679
0.182675,0.12351,0.0049239,0.078233,-0.152343,-0.00488956,0.916,-3.17647,0.0049239,1.66746
0.198401,0.142904,0.0048749,0.0744939,-0.182448,-0.00498544,0.97554,-0.223529,0.0048749,1.58792
0.219869,0.161329,0.00482835,0.0716177,-0.179572,-0.00488956,1.06714,-0.247059,0.00482835,1.52671
0.241939,0.169777,0.004807,0.0678786,-0.179572,-0.00498544,1.19538,-1.76471,0.004807,1.44713
0.254025,0.18749,0.00476224,0.0642354,-0.16241,-0.00498544,1.2137,-1.14118,0.00476224,1.36957
0.276038,0.195974,0.00474081,0.0624138,-0.156562,-0.00508131,1.40148,-1.6,0.00474081,1.33078
0.289748,0.213553,0.00469639,0.0590583,-0.164711,-0.00517719,1.41064,-1.88235,0.00469639,1.25932
0.311444,0.230409,0.0046538,0.0570449,-0.151576,-0.00527306,1.31446,-1.54118,0.0046538,1.21644
0.332633,0.239887,0.00462985,0.0538811,-0.162985,-0.00527306,1.0992,-0.788235,0.00462985,1.14904
0.346012,0.258148,0.00458371,0.0508131,-0.147262,-0.00517719,0.9389,-1.95294,0.00458371,1.08367
0.368339,0.266495,0.00456261,0.0489915,-0.130484,-0.00527306,0.85646,-2.07059,0.00456261,1.04485
0.392896,0.285767,0.00451392,0.0459235,-0.138538,-0.00527306,0.94348,-2.07059,0.00451392,0.97947
0.406125,0.304235,0.00446725,0.0427597,-0.120801,-0.00508131,0.9389,-0.705882,0.00446725,0.912033
0.429319,0.313953,0.0044427,0.0412257,-0.103544,-0.00498544,0.9389,-0.717647,0.0044427,0.879334
0.445127,0.331971,0.00439717,0.0389248,-0.0812051,-0.00498544,1.0076,-1.65882,0.00439717,0.83028
