time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.008502,2.87717,2.87746,0.000287621,-0.0141893,9.51765,4.95556
0.016022,2.87717,2.87746,0.000287621,-0.0141893,9.57647,4.96472
0.023929,2.87717,2.87746,0.000287621,-0.0141893,9.51765,4.96014
0.031943,2.87717,2.87746,0.000287621,-0.0141893,9.55294,4.96472
0.040038,2.87717,2.87746,0.000191748,-0.0141893,9.52941,4.9693
0.047998,2.87717,2.87746,0.000191748,-0.0141893,9.51765,4.9693
0.055932,2.87717,2.87746,0.000191748,-0.0141893,9.31765,4.97388
0.063931,2.87717,2.87746,0.000191748,-0.0141893,8.92941,4.9693
0.071997,2.87717,2.87746,0.000191748,-0.0141893,8.8,4.97388
0.079973,2.87717,2.87746,0.000191748,-0.0141893,8.70588,4.9693
0.087939,2.87717,2.87746,0.000191748,-0.0141893,8.69412,4.97846
0.095938,2.87717,2.87746,9.58738e-05,-0.0141893,8.42353,4.96472
0.104139,2.87717,2.87746,9.58738e-05,-0.0141893,8.4,4.9693
0.11194,2.87717,2.87746,9.58738e-05,-0.0141893,7.63529,4.96472
0.119938,2.87717,2.87746,9.58738e-05,-0.0141893,7.10588,4.96014
0.127938,2.87717,2.87746,9.58738e-05,-0.0141893,6.87059,4.96472
0.136008,2.87717,2.87746,9.58738e-05,-0.0140934,6.56471,4.96014
0.14394,2.87717,2.87746,9.58738e-05,-0.0141893,6.55294,4.95098
0.151938,2.87717,2.87736,9.58738e-05,-0.0140934,6.4,4.95556
0.159939,2.87717,2.87736,9.58738e-05,-0.0140934,6.32941,4.96472
0.167992,2.87717,2.87746,9.58738e-05,-0.0141893,6.2,4.9693
0.175936,2.87717,2.87736,9.58738e-05,-0.0141893,5.75294,4.96472
0.183943,2.87717,2.87736,-0.000191748,-0.0140934,5.43529,4.96014
0.191996,2.87708,2.87736,-0.000671117,-0.0140934,5.2,4.95556
0.200004,2.87708,2.87736,-0.00115049,-0.0140934,2.02353,4.9235
0.207996,2.87698,2.87727,-0.0187913,-0.0139976,4.38824,4.81358
0.21593,2.87679,2.87708,-0.0199418,-0.0139017,3.81176,4.7403
0.224963,2.8766,2.87698,-0.0188871,-0.0138058,3.64706,4.68992
0.232021,2.8765,2.87679,-0.018983,-0.0138058,3.65882,4.6487
0.239931,2.87631,2.8766,-0.0230097,-0.01371,4.17647,4.60748
0.24793,2.87612,2.87641,-0.0245437,-0.0136141,4.51765,4.58458
0.255969,2.87593,2.87631,-0.0217634,-0.0135182,4.18824,4.58
0.263999,2.87573,2.87612,-0.0227221,-0.0135182,3.65882,4.57084
0.27193,2.87554,2.87593,-0.0250231,-0.0135182,3.55294,4.57542
0.279935,2.87535,2.87564,-0.0268447,-0.0134223,3,4.57542
0.288056,2.87516,2.87545,-0.0231056,-0.0134223,2.6,4.60748
0.295932,2.87497,2.87535,-0.0204211,-0.0134223,2.48235,4.66702
0.303931,2.87468,2.87506,-0.0497585,-0.0133265,1.56471,4.57084
0.31193,2.8742,2.87468,-0.0625097,-0.0131347,2.88235,4.43802
0.320011,2.87372,2.8741,-0.063852,-0.012943,0.952941,4.3281
0.327948,2.87324,2.87363,-0.066824,-0.0127512,1.96471,4.24566
0.336006,2.87267,2.87305,-0.0678786,-0.0125595,1.91765,4.2136
