time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.008094,2.87631,2.8766,0.000191748,-0.0140934,8.88235,0
0.016038,2.87631,2.87669,9.58738e-05,-0.0141893,8.90588,0
0.02399,2.87631,2.8766,9.58738e-05,-0.0140934,8.88235,0
0.031988,2.87631,2.8766,9.58738e-05,-0.0140934,8.89412,0
0.039992,2.87631,2.8766,9.58738e-05,-0.0140934,8.88235,0
0.047991,2.87631,2.8766,9.58738e-05,-0.0140934,8.91765,0
0.055995,2.87631,2.8766,9.58738e-05,-0.0140934,8.88235,0
0.063989,2.87631,2.8766,9.58738e-05,-0.0140934,8.88235,0
0.071991,2.87631,2.87669,9.58738e-05,-0.0140934,8.88235,0
0.080046,2.87631,2.8766,9.58738e-05,-0.0140934,8.87059,0
0.08799,2.87631,2.87669,9.58738e-05,-0.0140934,8.87059,0
0.095989,2.87631,2.8766,9.58738e-05,-0.0141893,8.89412,0
0.103988,2.87631,2.8766,9.58738e-05,-0.0140934,8.85882,0
0.111992,2.87631,2.87669,9.58738e-05,-0.0141893,8.89412,0
0.119988,2.87631,2.8766,9.58738e-05,-0.0140934,8.88235,0
0.128093,2.87631,2.8766,0,-0.0141893,8.87059,0
0.13804,2.87631,2.8766,0,-0.0140934,8.89412,0
0.145995,2.87631,2.8766,0,-0.0140934,8.90588,0
0.153992,2.87631,2.87669,0,-0.0140934,8.89412,0
0.161984,2.87631,2.87669,0,-0.0140934,8.88235,0
0.169995,2.87631,2.87669,0,-0.0140934,8.89412,0
0.177989,2.87631,2.8766,0,-0.0140934,8.88235,0
0.185988,2.87631,2.87669,0,-0.0141893,8.89412,0
0.193988,2.87631,2.87669,0,-0.0140934,8.88235,0
0.201988,2.87631,2.8766,0,-0.0140934,8.65882,0
0.209992,2.87631,2.8766,0,-0.0140934,8.38824,0
0.217988,2.87631,2.87669,0,-0.0140934,8.32941,0
0.225988,2.87631,2.8766,0,-0.0140934,8.30588,0
0.233987,2.87631,2.8766,0,-0.0140934,8.32941,0
0.241991,2.87631,2.8766,0,-0.0140934,8.09412,0
0.249988,2.87631,2.8766,0,-0.0140934,8.04706,0
0.257989,2.87631,2.8766,0,-0.0140934,7.84706,0
0.265971,2.87631,2.8766,0,-0.0140934,7.56471,0
0.273989,2.87631,2.8766,0,-0.0140934,7.47059,0
0.281989,2.87631,2.8766,0,-0.0140934,7.34118,0
0.289988,2.87631,2.8766,0,-0.0140934,7.23529,0
0.297986,2.87631,2.8766,0,-0.0140934,7.23529,0
0.305992,2.87631,2.8766,0,-0.0140934,7.07059,0
0.313991,2.87631,2.8766,0,-0.0140934,6.8,0
0.321988,2.87631,2.8766,-9.58738e-05,-0.0140934,6.61176,0
0.329988,2.87631,2.8766,-0.000191748,-0.0139976,6.63529,0
0.337993,2.87631,2.8766,-0.000383495,-0.0140934,6.36471,0
0.34599,2.87631,2.8766,-0.000479369,-0.0140934,6.35294,0
0.360881,2.87631,2.8766,-0.000479369,-0.0140934,6.23529,0
0.368086,2.87621,2.8765,-0.00105461,-0.0139976,5.82353,0
0.376131,2.87621,2.8765,-0.00210922,-0.0139976,5.81176,0
0.38413,2.87621,2.8765,-0.00345146,-0.0139976,5.58824,0
0.39205,2.87612,2.87641,-0.00469782,-0.0139976,5.62353,0
0.39999,2.87612,2.87641,-0.00508131,-0.0139976,5.50588,0
0.407993,2.87602,2.87631,-0.00565655,-0.0139976,3.30588,0
0.415989,2.87583,2.87621,-0.0232015,-0.0138058,4.78824,0
0.423988,2.87564,2.87602,-0.023585,-0.01371,4.27059,0
0.431988,2.87545,2.87573,-0.0253107,-0.0136141,3.37647,0
0.439992,2.87526,2.87564,-0.0240643,-0.0135182,3.49412,0
0.447988,2.87506,2.87545,-0.0204211,-0.0135182,3.02353,0
0.455987,2.87497,2.87526,-0.0190789,-0.0134223,3.11765,0
0.463988,2.87478,2.87516,-0.0204211,-0.0134223,3.27059,0
0.47199,2.87458,2.87497,-0.0231056,-0.0133265,2.82353,0
0.479988,2.87439,2.87478,-0.0248313,-0.0133265,3.72941,0
0.487987,2.8742,2.87458,-0.0233932,-0.0133265,3.69412,0
0.495989,2.87401,2.87439,-0.0231056,-0.0133265,3.78824,0
0.503988,2.87382,2.8741,-0.0241602,-0.0133265,3.65882,0
0.511989,2.87363,2.87391,-0.0271323,-0.0133265,3.87059,0
0.519988,2.87343,2.87372,-0.0254066,-0.0133265,3.50588,0
0.527988,2.87324,2.87353,-0.0231056,-0.0133265,3.51765,0
0.535985,2.87305,2.87334,-0.022818,-0.0133265,2.95294,0
0.54399,2.87286,2.87315,-0.0232015,-0.0133265,2.65882,0
0.552,2.87267,2.87295,-0.0240643,-0.0132306,3.23529,0
0.559989,2.87247,2.87276,-0.0210922,-0.0132306,2.64706,0
0.567992,2.87238,2.87267,-0.0192706,-0.0132306,2.32941,0
0.575988,2.87219,2.87247,-0.0199418,-0.0132306,2.98824,0
0.584878,2.87209,2.87228,-0.0210922,-0.0132306,3.02353,0
0.592055,2.8718,2.87209,-0.0271323,-0.0131347,4.68235,0
0.59999,2.87161,2.8719,-0.0241602,-0.0131347,4.38824,0
0.607992,2.87142,2.87171,-0.0224345,-0.0130388,4.21176,0
0.616039,2.87132,2.87152,-0.0233932,-0.0130388,4.4,0
0.623989,2.87104,2.87132,-0.0264612,-0.0130388,4.45882,0
0.631988,2.87085,2.87113,-0.0253107,-0.012943,4.16471,0
0.639991,2.87075,2.87094,-0.0206129,-0.012943,3.55294,0
0.647988,2.87056,2.87075,-0.0190789,-0.012943,3.57647,0
