time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.006764,0.0106037,-0.19634,0.293374,-0.594705,-0.0108337,5.96774,-3.50588,-0.19634,6.16995
0.012532,0.0339809,-0.195102,0.289539,-0.562779,-0.0080534,2.06558,4.38824,-0.195102,6.09158
0.029189,0.0590228,-0.195334,0.287046,-0.491833,-0.00632767,1.05798,-0.0470588,-0.195334,6.04059
0.035749,0.135991,-0.204148,0.27928,-0.558752,-0.00201335,0.3435,-9.75294,-0.204148,5.8815
0.04118,0.159829,-0.212494,0.276021,-0.598828,-0.000575243,-0.92974,-7.2,-0.212494,5.81462
0.053092,0.183063,-0.227802,0.272473,-0.640916,0.00076699,-1.2137,-6.85882,-0.227802,5.74176
0.06371,0.256058,-0.25117,0.264803,-0.723464,0.00287621,-1.54804,-6.68235,-0.25117,5.58399
0.069769,0.283771,-0.252469,0.258188,-0.699783,0.00393083,-2.39534,-9.68235,-0.252469,5.44764
0.075059,0.307433,-0.257249,0.254161,-0.71752,0.00412257,-2.49152,-6.45882,-0.257249,5.36454
0.09678,0.39015,-0.273341,0.249751,-0.737365,0.00412257,-2.4961,-9.22353,-0.273341,5.27341
0.114807,0.439581,-0.285214,0.233453,-0.766895,0.00258859,-2.30374,-12.7882,-0.285214,4.93577
0.127263,0.515628,-0.275299,0.217058,-1.04407,0.000671117,-0.57708,-11.1059,-0.275299,4.59483
0.134245,0.564079,-0.269533,0.206033,-1.11981,0,-0.0687,-11.9882,-0.269533,4.36483
0.147012,0.589078,-0.259363,0.197884,-1.2501,9.58738e-05,-0.1374,-9.22353,-0.259363,4.1945
0.157431,0.665106,-0.262813,0.181681,-1.34664,0.000862864,-0.32976,-12.9294,-0.262813,3.85501
0.163769,0.691775,-0.283861,0.168354,-1.34875,0.00143811,-1.01676,-6.62353,-0.283861,3.57503
0.169107,0.7163,-0.333893,0.159342,-1.36035,0.00115049,-1.09004,-7.89412,-0.333893,3.38532
0.186135,0.768892,-0.372608,0.15311,-1.38547,0.000862864,-0.93432,-14.4235,-0.372608,3.25398
0.19417,0.822901,-0.373528,0.129334,-1.57118,0.000671117,-0.65494,-11.5059,-0.373528,2.75175
0.200199,0.85015,-0.373534,0.117733,-1.52104,0.000575243,-0.43968,-9.97647,-0.373534,2.50613
0.217647,0.921903,-0.373535,0.108913,-1.60474,0.000287621,-0.33892,-10.0706,-0.373535,2.31914
0.224504,0.957382,-0.373535,0.0826432,-1.62238,0.000479369,-0.33434,-8.27059,-0.373535,1.76125
0.230507,0.981915,-0.373535,0.0711384,-1.64663,0.000671117,-0.56334,-7.23529,-0.373535,1.51651
0.247492,1.0515,-0.373535,0.061551,-1.68431,0.000671117,-0.62746,-9.15294,-0.373535,1.31241
0.254546,1.08804,-0.373535,0.0339393,-1.79274,0.000383495,-0.37556,-6.01176,-0.373535,0.723983
0.268151,1.1142,-0.373535,0.0223386,-1.69572,0.000383495,-0.25648,-6.18824,-0.373535,0.476571
0.282401,1.19963,-0.373535,-9.58738e-05,-1.64711,-0.000287621,-0.1145,-10.2353,-0.373535,-0.00204554
0.292783,1.25509,-0.373535,-0.0239684,-1.67319,0.000287621,-0.15572,-2.34118,-0.373535,-0.511336
