time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.0042,0.00357933,-0.22729,0.0525388,0,-0.00412257,0.9847,-4.44706,-0.22729,1.12044
0.008366,0.0219803,-0.228179,0.0523471,-0.102201,-0.00393083,0.83814,-3.90588,-0.228179,1.11636
0.013276,0.0425904,-0.229176,0.0520595,-0.108433,-0.00373908,0.53128,-1.83529,-0.229176,1.11023
0.017546,0.0615737,-0.229932,0.0515801,-0.0757403,-0.00345146,0.2519,0.2,-0.229932,1.10001
0.021791,0.0799657,-0.230474,0.0512925,-0.0552233,-0.00316384,0.1145,0.647059,-0.230474,1.09388
0.025908,0.0978574,-0.230876,0.0511007,-0.0361444,-0.00316384,2.35412,2.02353,-0.230876,1.0898
0.029957,0.115743,-0.23119,0.0510049,-0.0279951,-0.00316384,0.0916,0.0941176,-0.23119,1.08776
0.034146,0.13363,-0.231461,0.0510049,-0.0253107,-0.00316384,0.16946,-0.282353,-0.231461,1.08776
0.038294,0.151464,-0.231725,0.0510049,-0.0253107,-0.00325971,0.26564,-0.223529,-0.231725,1.08776
0.043447,0.173973,-0.232099,0.0511007,-0.0223386,-0.00335558,0.3893,0.505882,-0.232099,1.0898
0.047967,0.193097,-0.232468,0.0511007,-0.00450607,-0.00354733,0.57708,3.15294,-0.232468,1.0898
0.052246,0.212075,-0.232974,0.0511007,-0.00287621,-0.00354733,0.7328,0.152941,-0.232974,1.0898
0.05676,0.231368,-0.233635,0.0511007,0.0018216,-0.00373908,0.8473,-0.0117647,-0.233635,1.0898
0.061032,0.24967,-0.234467,0.0511007,0.0018216,-0.00383495,0.96638,0.741176,-0.234467,1.0898
0.065449,0.268643,-0.235567,0.0511007,0.0018216,-0.0040267,1.03966,0.447059,-0.235567,1.0898
0.069739,0.287705,-0.236965,0.0510049,0.00105461,-0.00412257,1.11294,0.223529,-0.236965,1.08776
0.074404,0.306834,-0.238695,0.0510049,0.000575243,-0.00421845,1.18622,0.211765,-0.238695,1.08776
0.078917,0.327816,-0.241009,0.0510049,-9.58738e-05,-0.00431432,1.26866,0.176471,-0.241009,1.08776
0.083023,0.345782,-0.24335,0.0510049,-0.000383495,-0.00441019,1.3282,0.2,-0.24335,1.08776
0.087261,0.363688,-0.246016,0.0510049,-0.000862864,-0.00441019,1.40606,0.2,-0.246016,1.08776
0.091541,0.382136,-0.249085,0.050909,-0.00124636,-0.00450607,1.45186,0.223529,-0.249085,1.08571
0.095691,0.400889,-0.252498,0.050909,-0.00153398,-0.00460194,1.48392,0.2,-0.252498,1.08571
0.099911,0.419123,-0.256039,0.050909,-0.00172573,-0.00460194,1.5114,0.2,-0.256039,1.08571
0.108031,0.454319,-0.263254,0.050909,-0.0018216,-0.00469782,1.5114,0.211765,-0.263254,1.08571
0.112248,0.472906,-0.267175,0.050909,-0.0022051,-0.00469782,1.52972,-0.223529,-0.267175,1.08571
0.116507,0.490813,-0.271009,0.050909,-0.00239685,-0.00469782,1.52514,-0.270588,-0.271009,1.08571
0.120778,0.509273,-0.275063,0.050909,-0.00249272,-0.00469782,1.49308,-0.341176,-0.275063,1.08571
0.125,0.527753,-0.279306,0.050909,-0.00258859,-0.00469782,1.45186,-0.258824,-0.279306,1.08571
0.13013,0.546203,-0.283826,0.0508131,-0.00258859,-0.00460194,1.40606,3.37647,-0.283826,1.08367
0.13465,0.569723,-0.290134,0.050909,-0.00239685,-0.00460194,1.38316,2.8,-0.290134,1.08571
0.13869,0.588168,-0.295534,0.050909,0.00421845,-0.00460194,1.37858,3.05882,-0.295534,1.08571
0.143001,0.606015,-0.301104,0.050909,0.00594418,-0.00460194,1.36026,4.41176,-0.301104,1.08571
0.147142,0.62456,-0.307104,0.0510049,0.00910801,-0.00450607,1.34652,3.62353,-0.307104,1.08776
0.151392,0.642497,-0.312945,0.0511007,0.0127512,-0.00450607,1.33278,3.45882,-0.312945,1.0898
0.155634,0.66097,-0.318827,0.0511007,0.0179284,-0.00450607,1.31904,3.11765,-0.318827,1.0898
0.160104,0.679567,-0.324455,0.0511966,0.0211881,-0.00450607,1.3053,2.74118,-0.324455,1.09184
0.167672,0.712913,-0.33359,0.0512925,0.0244478,-0.00450607,1.29614,2.44706,-0.33359,1.09388
0.172014,0.732615,-0.338376,0.0514842,0.0292415,-0.00450607,1.3053,3.11765,-0.338376,1.09797
0.176136,0.750751,-0.342385,0.051676,0.0325012,-0.00450607,1.31446,3.69412,-0.342385,1.10206
0.180289,0.768705,-0.345903,0.0517719,0.0377743,-0.00450607,1.33278,4.03529,-0.345903,1.1041
0.184513,0.786661,-0.347406,0.0519636,0.0513884,-0.00450607,1.3511,4.29412,-0.347406,1.10818
0.18865,0.805166,-0.340603,0.0521553,0.0663447,-0.00460194,1.41522,3.45882,-0.340603,1.11227
0.194228,0.823089,-0.33295,0.052443,0.0725765,-0.00460194,1.51598,5.71765,-0.33295,1.1184
0.198521,0.848245,-0.340666,0.0528265,0.0715219,-0.00479369,1.60758,4.49412,-0.340666,1.12657
0.202812,0.866597,-0.353411,0.0531141,0.0656736,-0.00479369,1.69918,5.32941,-0.353411,1.1327
0.206997,0.885173,-0.356976,0.0534017,0.0659612,-0.00488956,1.71292,4.81176,-0.356976,1.13883
0.21126,0.903122,-0.364027,0.0535935,0.0618386,-0.00488956,1.73582,4.50588,-0.364027,1.14291
0.215467,0.921603,-0.367374,0.0538811,0.0622221,-0.00488956,1.7175,5.18824,-0.367374,1.14904
0.219653,0.939567,-0.361312,0.0541687,0.072193,-0.00488956,1.7175,3.23529,-0.361312,1.15517
0.22542,0.964992,-0.34608,0.0544563,0.0819721,-0.00488956,1.7175,4.71765,-0.34608,1.16129
0.229754,0.983768,-0.222661,0.0549357,0.10201,-0.00488956,1.75872,3.88235,-0.222661,1.17151
0.233851,1.00229,-0.178331,0.0553192,0.107475,-0.00498544,1.832,4.01176,-0.178331,1.17968
0.23795,1.02018,-0.278647,0.0557027,0.0980789,-0.00498544,1.88696,3.51765,-0.278647,1.18784
0.242066,1.03756,-0.377749,0.0559903,0.0726723,-0.00498544,1.88238,-0.6,-0.377749,1.19397
0.246222,1.05605,-0.387957,0.0562779,0.0441019,-0.00488956,1.73582,1.58824,-0.387957,1.2001
0.250433,1.07401,-0.389425,0.0563738,0.0272282,-0.00460194,1.43812,4.89412,-0.389425,1.20214
0.254595,1.09255,-0.390427,0.0564697,0.029625,-0.00441019,1.18622,7.96471,-0.390427,1.20418
0.258691,1.1105,-0.384859,0.0566614,0.0715219,-0.00421845,1.01218,8.95294,-0.384859,1.20827
0.26285,1.12854,-0.14013,0.056949,0.116678,-0.00421845,0.97554,7.8,-0.14013,1.21439
0.266974,1.14651,-0.0100642,0.0574284,0.157521,-0.00421845,1.06714,5.8,-0.0100642,1.22461
0.271227,1.16447,-0.0109257,0.0579078,0.164232,-0.00421845,2.35412,4.03529,-0.0109257,1.23482
0.275361,1.18298,-0.23987,0.0586748,0.10805,-0.00441019,1.43812,-4.88235,-0.23987,1.25115
0.279439,1.20091,-0.393261,0.0589624,0.0568532,-0.00431432,1.41522,-5.27059,-0.393261,1.25728
0.285347,1.21888,-0.394888,0.0590583,-0.0105461,-0.00412257,1.09462,-1.55294,-0.394888,1.25932
0.28959,1.24462,-0.395598,0.0588665,-0.0454442,-0.00354733,0.65952,5.61176,-0.395598,1.25524
0.293815,1.26386,-0.396178,0.0588665,-0.0374867,-0.00316384,0.23358,8.61176,-0.396178,1.25524
0.297998,1.28159,-0.390547,0.0589624,0.0730558,-0.00297209,0.13282,10.3882,-0.390547,1.25728
0.302147,1.29949,-0.0286881,0.05925,0.154932,-0.00297209,0.20152,8.68235,-0.0286881,1.2634
0.306298,1.31746,-0.0254852,0.0597294,0.229043,-0.00306796,0.4809,12.1765,-0.0254852,1.27361
0.310456,1.33604,-0.0277426,0.0606881,0.250326,-0.00354733,0.94348,-0.988235,-0.0277426,1.29403
0.316187,1.35344,-0.0365757,0.061551,0.182927,-0.00393083,1.38774,-5.24706,-0.0365757,1.31241
0.321101,1.37996,-0.376787,0.0624138,0.0667282,-0.00421845,1.63048,-6.81176,-0.376787,1.33078
0.325326,1.40035,-0.375108,0.0626056,0.048608,-0.00421845,1.55262,-8.74118,-0.375108,1.33487
0.32962,1.41881,-0.408044,0.0626056,-0.0654818,-0.00393083,1.15874,0.870588,-0.408044,1.33487
0.333772,1.43742,-0.405655,0.0624138,-0.0467864,-0.00354733,0.72364,4.84706,-0.405655,1.33078
0.337996,1.45534,-0.399185,0.062318,-0.0431432,-0.00345146,0.48548,5.76471,-0.399185,1.32874
0.342461,1.47487,-0.350991,0.0625097,0.106036,-0.00316384,0.4351,12.1176,-0.350991,1.33282
0.348414,1.49335,-0.33351,0.063085,0.190022,-0.00335558,0.65494,10.2706,-0.33351,1.34507
0.353169,1.52012,-0.291688,0.0641396,0.230672,-0.00383495,1.04424,5.18824,-0.291688,1.36753
0.357337,1.53975,-0.291759,0.0649066,0.242752,-0.00431432,1.69918,4.84706,-0.291759,1.38386
0.361639,1.55821,-0.342541,0.0659612,0.217921,-0.00488956,2.13886,1.81176,-0.342541,1.40631
0.365665,1.57676,-0.350582,0.0667282,0.183407,-0.00527306,2.35412,1.89412,-0.350582,1.42264
0.369715,1.59418,-0.351014,0.0674952,0.172669,-0.00565655,2.35412,5.95294,-0.351014,1.43897
0.373986,1.61221,-0.35117,0.0680704,0.154932,-0.0058483,2.35412,4.22353,-0.35117,1.45121
0.38008,1.63627,-0.351217,0.0687415,0.132402,-0.00604005,2.35412,3.52941,-0.351217,1.4655
0.384476,1.65786,-0.351235,0.0695085,0.109392,-0.0062318,2.35412,3.07059,-0.351235,1.48182
0.388686,1.67633,-0.351254,0.0699879,0.0976954,-0.00613592,91.4626,3.51765,-0.351254,1.49203
0.392886,1.69476,-0.351281,0.0703714,0.0909842,-0.00604005,51.5983,3.71765,-0.351281,1.50019
0.397181,1.71336,-0.351317,0.0707549,0.0854236,-0.00594418,8.21652,4.84706,-0.351317,1.50835
0.401448,1.73178,-0.351374,0.0711384,0.0883956,-0.00575243,-42.2047,5.11765,-0.351374,1.51651
0.408836,1.75044,-0.351447,0.0715219,0.0889709,-0.00556068,2.05184,4.44706,-0.351447,1.52467
0.413756,1.78432,-0.351686,0.072193,0.101818,-0.00536893,1.88238,5.09412,-0.351686,1.53895
0.417984,1.80431,-0.351927,0.0727682,0.113419,-0.00517719,1.61674,5.76471,-0.351927,1.5512
0.422198,1.82222,-0.352249,0.0732476,0.126649,-0.00508131,1.51598,5.08235,-0.352249,1.5614
0.426464,1.84073,-0.352604,0.0738228,0.127992,-0.00498544,1.44728,5.71765,-0.352604,1.57364
0.430736,1.85923,-0.353139,0.0743022,0.135566,-0.00488956,1.39232,5.35294,-0.353139,1.58384
0.437996,1.87773,-0.353934,0.0748774,0.148317,-0.00479369,1.36026,4.03529,-0.353934,1.59608
0.443043,1.90997,-0.35566,0.0758362,0.156754,-0.00479369,1.34652,4.03529,-0.35566,1.61647
0.447264,1.93172,-0.357478,0.0766032,0.169313,-0.00488956,1.42896,4.08235,-0.357478,1.63279
0.451381,1.94962,-0.358856,0.077466,0.166629,-0.00488956,1.50682,4.23529,-0.358856,1.65114
0.455511,1.96751,-0.361113,0.0781371,0.180914,-0.00498544,1.603,4.25882,-0.361113,1.66542
0.459631,1.98548,-0.362503,0.0787124,0.169313,-0.00498544,1.69002,6.51765,-0.362503,1.67766
0.463795,2.00354,-0.364015,0.0794794,0.158479,-0.00508131,1.7404,4.28235,-0.364015,1.69397
0.470259,2.02155,-0.366253,0.0795753,0.162123,-0.00508131,1.79994,5.35294,-0.366253,1.69601
0.475073,2.05197,-0.370085,0.0812051,0.170368,-0.00517719,1.85032,4.72941,-0.370085,1.73067
0.479236,2.07087,-0.371725,0.0818762,0.161164,-0.00527306,1.94192,4.25882,-0.371725,1.74494
0.48336,2.08883,-0.373613,0.0826432,0.164807,-0.00527306,1.9694,5.30588,-0.373613,1.76125
0.487639,2.10676,-0.375329,0.0833143,0.171039,-0.00527306,1.9923,7.38824,-0.375329,1.77552
0.491938,2.12533,-0.376605,0.0838896,0.16845,-0.00527306,2.02894,5.88235,-0.376605,1.78775
0.49962,2.14432,-0.377616,0.0844648,0.162027,-0.00527306,2.02894,5.44706,-0.377616,1.79998
0.504481,2.17826,-0.379105,0.0858071,0.175257,-0.00527306,2.02894,6.64706,-0.379105,1.82851
0.508823,2.19922,-0.379446,0.0866699,0.170272,-0.00536893,2.06558,6.87059,-0.379446,1.84686
0.513154,2.21765,-0.379499,0.087341,0.164903,-0.00536893,2.07474,5.18824,-0.379499,1.86112
0.517286,2.23611,-0.379333,0.0880121,0.171998,-0.00536893,2.05184,4.98824,-0.379333,1.87538
0.521578,2.25403,-0.378916,0.088875,0.179955,-0.00536893,2.02436,5.25882,-0.378916,1.89372
0.52578,2.2725,-0.378256,0.0895461,0.175066,-0.00536893,2.01978,5.85882,-0.378256,1.90798
0.533467,2.2984,-0.376935,0.0903131,0.174874,-0.00536893,1.99688,8.30588,-0.376935,1.92428
0.537936,2.32528,-0.375125,0.0916554,0.179859,-0.00536893,1.94192,4.30588,-0.375125,1.9528
0.542105,2.34419,-0.373715,0.0923265,0.173723,-0.00546481,1.93734,4.08235,-0.373715,1.96706
0.546346,2.3621,-0.372321,0.0930935,0.173244,-0.00546481,1.91444,5.03529,-0.372321,1.98335
0.550598,2.38054,-0.370944,0.0939563,0.17497,-0.00546481,1.17706,4.61176,-0.370944,2.00168
0.554603,2.39846,-0.369802,0.0946274,0.17286,-0.00546481,1.82742,6.61176,-0.369802,2.01594
0.560242,2.41582,-0.368972,0.0952986,0.168163,-0.00546481,1.79994,5.12941,-0.368972,2.03019
0.56771,2.45508,-0.368393,0.0963532,0.169505,-0.00546481,1.77246,4.4,-0.368393,2.05259
0.571868,2.47339,-0.368832,0.0975995,0.166916,-0.00546481,1.73124,4.17647,-0.368832,2.07906
0.576111,2.49125,-0.369639,0.0982706,0.17008,-0.00546481,1.6946,5.71765,-0.369639,2.09331
0.580392,2.50967,-0.370808,0.0989418,0.168067,-0.00546481,1.66254,3.87059,-0.370808,2.10756
0.584643,2.52799,-0.372181,0.0997088,0.166533,-0.00546481,1.6717,4.72941,-0.372181,2.12384
0.590227,2.54656,-0.373662,0.10038,0.163369,-0.00546481,1.64422,5.28235,-0.373662,2.13809
0.599097,2.5787,-0.376067,0.101339,0.167779,-0.00546481,1.64422,3.92941,-0.376067,2.15844
0.60406,2.61294,-0.378112,0.102681,0.157712,-0.00546481,1.66254,4.96471,-0.378112,2.18693
0.608391,2.63113,-0.378909,0.103448,0.159822,-0.00546481,1.6946,5.08235,-0.378909,2.2032
