time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.013948,0.00455459,-0.122966,-0.143715,-0.388289,0.0120801,-3.59988,-17.0706,-0.122966,-3.05572
0.030242,0.0122714,-0.105373,-0.147837,-0.170943,0.0150522,-4.7632,-0.258824,-0.105373,-3.14275
0.040084,0.0279978,-0.0841888,-0.148796,0.0722888,0.0148604,-6.05018,-0.588235,-0.0841888,-3.16298
0.044629,0.0318239,-0.0822422,-0.148029,0.0982706,0.0133265,-3.72812,-2.62353,-0.0822422,-3.14679
0.048874,0.0352079,-0.085835,-0.147646,0.0719054,0.0124636,-3.1144,-3.52941,-0.085835,-3.1387
0.053276,0.0385436,-0.0892103,-0.147454,0.0471699,0.0118884,-2.68388,-5.28235,-0.0892103,-3.13465
0.072954,0.0530513,-0.0938606,-0.147358,0.0336517,0.0113131,-2.38618,-5.89412,-0.0938606,-3.13263
0.092637,0.0622368,-0.114217,-0.148509,-0.149371,0.0105461,-2.26252,-6.45882,-0.114217,-3.15691
0.102837,0.0753986,-0.119504,-0.151481,-0.17497,0.011409,-2.87166,-6.02353,-0.119504,-3.21961
0.110422,0.0834155,-0.11806,-0.153015,-0.14103,0.0117925,-3.78766,-6.45882,-0.11806,-3.25196
0.122146,0.087265,-0.116305,-0.153973,-0.113898,0.0118884,-3.97086,-6.17647,-0.116305,-3.27217
0.131604,0.100137,-0.114951,-0.155028,-0.0709466,0.0117925,-3.94338,-5.44706,-0.114951,-3.29441
0.142729,0.104941,-0.117209,-0.155699,-0.0831226,0.011409,-3.37088,-5.38824,-0.117209,-3.30855
0.154959,0.11485,-0.12149,-0.156658,-0.104694,0.0111214,-3.1602,-6.54118,-0.12149,-3.32876
0.164521,0.126421,-0.124658,-0.157904,-0.111118,0.0109296,-2.99532,-5.83529,-0.124658,-3.35502
0.171541,0.13241,-0.12693,-0.159055,-0.121089,0.0108337,-2.93578,-4.89412,-0.12693,-3.37926
0.183252,0.138261,-0.128001,-0.159822,-0.118788,0.0107379,-2.93578,-7.2,-0.128001,-3.39542
0.194077,0.148717,-0.130896,-0.160972,-0.125019,0.0107379,-2.98616,-2.94118,-0.130896,-3.41965
0.20126,0.156832,-0.130603,-0.162218,-0.103064,0.0107379,-3.12814,-6.54118,-0.130603,-3.4459
0.209509,0.162244,-0.131927,-0.16289,-0.104407,0.0107379,-3.08234,-5.24706,-0.131927,-3.46003
0.219641,0.170718,-0.133528,-0.163752,-0.10153,0.0107379,-3.1144,-5.38824,-0.133528,-3.47819
0.22652,0.176713,-0.133904,-0.164711,-0.0915595,0.0107379,-3.17852,-6.14118,-0.133904,-3.49837
0.231789,0.181991,-0.13457,-0.165382,-0.0862864,0.0107379,-3.1602,-3.98824,-0.13457,-3.5125
0.236206,0.185751,-0.134586,-0.165766,-0.0777536,0.0107379,-3.11898,-5,-0.134586,-3.52057
0.248878,0.189245,-0.13516,-0.166149,-0.0756444,0.0107379,-3.10524,-4.92941,-0.13516,-3.52864
0.255247,0.201429,-0.136789,-0.167012,-0.0644272,0.0107379,-3.10524,-5.12941,-0.136789,-3.54679
0.260796,0.206051,-0.137162,-0.167396,-0.0576202,0.010642,-2.99074,-5.75294,-0.137162,-3.55486
0.265472,0.210063,-0.138417,-0.167779,-0.0613592,0.010642,-2.94494,-5.27059,-0.138417,-3.56293
0.278579,0.213703,-0.139043,-0.168163,-0.0594418,0.010642,-2.92204,-4.38824,-0.139043,-3.57099
0.28467,0.225949,-0.141441,-0.16893,-0.0559903,0.010642,-2.94494,-4.54118,-0.141441,-3.58713
0.289975,0.230599,-0.141416,-0.169217,-0.0449648,0.0107379,-2.97242,-4.37647,-0.141416,-3.59317
0.294674,0.234723,-0.14114,-0.169409,-0.0325971,0.0107379,-2.90372,-4.49412,-0.14114,-3.59721
0.305571,0.23868,-0.141148,-0.169505,-0.023585,0.010642,-2.8396,-5.16471,-0.141148,-3.59922
0.31407,0.251249,-0.143246,-0.169601,-0.0162027,0.0104502,-2.76174,-2.74118,-0.143246,-3.60124
0.319528,0.255728,-0.142468,-0.169505,0.00201335,0.0102585,-2.46862,-4.14118,-0.142468,-3.59922
0.324298,0.259838,-0.143204,-0.169505,0.00393083,0.0101626,-2.41366,-2.02353,-0.143204,-3.59922
0.328938,0.263903,-0.143977,-0.169409,0.00536893,0.0101626,-2.37702,-2.48235,-0.143977,-3.59721
0.343726,0.273343,-0.146027,-0.169409,0.00613592,0.0101626,-2.39992,-1.94118,-0.146027,-3.59721
0.349354,0.281457,-0.147845,-0.169313,0.0062318,0.0102585,-2.44572,-1.54118,-0.147845,-3.59519
0.353967,0.285406,-0.148735,-0.169217,0.0062318,0.0102585,-2.71136,-1.51765,-0.148735,-3.59317
0.358531,0.289428,-0.149651,-0.169217,0.00613592,0.0103544,-2.8167,0.0823529,-0.149651,-3.59317
0.373048,0.299159,-0.151629,-0.169121,0.00834102,0.0104502,-2.91288,1.95294,-0.151629,-3.59116
0.379225,0.307426,-0.1516,-0.168834,0.0277075,0.010642,-3.01822,0.505882,-0.1516,-3.58511
0.384047,0.311516,-0.151279,-0.168642,0.0403629,0.0107379,-3.24264,-0.376471,-0.151279,-3.58108
0.389027,0.315936,-0.152375,-0.16845,0.0394041,0.0107379,-3.26554,-0.658824,-0.152375,-3.57704
0.403864,0.325685,-0.154497,-0.168259,0.040267,0.0107379,-3.30676,-0.352941,-0.154497,-3.57301
0.411675,0.335777,-0.155132,-0.167492,0.0570449,0.0107379,-3.37088,-1.85882,-0.155132,-3.55688
0.416306,0.339863,-0.15588,-0.167012,0.0588665,0.0107379,-3.33882,-0.0235294,-0.15588,-3.54679
0.427538,0.343946,-0.156646,-0.16682,0.0604964,0.0107379,-3.3205,-1.11765,-0.156646,-3.54276
0.435659,0.35703,-0.159118,-0.166053,0.0655777,0.0107379,-3.33882,0.564706,-0.159118,-3.52662
0.441363,0.361818,-0.160752,-0.165574,0.060017,0.0107379,-3.3205,0.282353,-0.160752,-3.51653
0.445743,0.365957,-0.161194,-0.165286,0.0650983,0.0107379,-3.31134,-0.505882,-0.161194,-3.51048
0.449879,0.369721,-0.161333,-0.164903,0.0723847,0.0107379,-3.27928,-0.129412,-0.161333,-3.50241
0.464513,0.379779,-0.162612,-0.164615,0.0826432,0.010642,-3.24722,0.576471,-0.162612,-3.49635
0.471155,0.38868,-0.163011,-0.163369,0.0991335,0.0105461,-3.03196,-0.611765,-0.163011,-3.47012
0.475761,0.392655,-0.164354,-0.162794,0.0947233,0.0104502,-2.80754,0.447059,-0.164354,-3.45801
