time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.006029,0.000776941,-0.162121,0.00776578,0,-0.00076699,0.03664,-0.964706,-0.162121,0.165687
0.011254,0.0054609,-0.162669,0.00786165,0,-0.000862864,0.0687,-4.2,-0.162669,0.167733
0.016446,0.00956171,-0.163546,0.00776578,-0.00853277,-0.00076699,0.01374,0.388235,-0.163546,0.165687
0.020908,0.0132274,-0.16383,0.00776578,-0.00901214,-0.000862864,-0.00458,-1.32941,-0.16383,0.165687
0.025149,0.0166861,-0.164382,0.00776578,-0.00901214,-0.00076699,0.00916,-0.388235,-0.164382,0.165687
0.029487,0.0199738,-0.164602,0.00776578,-0.00882039,-0.000862864,0.0229,-1.17647,-0.164602,0.165687
0.033793,0.0233409,-0.16514,0.00776578,-0.00882039,-0.00076699,0.01374,-1.10588,-0.16514,0.165687
0.040734,0.0277694,-0.16548,0.00776578,-0.00834102,-0.00076699,0.01374,-1.28235,-0.16548,0.165687
0.04914,0.0352721,-0.16633,0.00776578,-0.00834102,-0.00076699,0.02748,-1.92941,-0.16633,0.165687
0.054067,0.039019,-0.166736,0.00776578,-0.00776578,-0.000862864,0.03206,-1.05882,-0.166736,0.165687
0.058823,0.0428187,-0.167299,0.00776578,-0.00728641,-0.000862864,0.03206,-0.623529,-0.167299,0.165687
0.06357,0.0464289,-0.167702,0.00776578,-0.00728641,-0.000862864,0.03664,-0.470588,-0.167702,0.165687
0.074569,0.0525878,-0.168373,0.00776578,-0.00680704,-0.000862864,0.04122,-0.623529,-0.168373,0.165687
0.080898,0.0600023,-0.16918,0.00776578,-0.00642354,-0.000862864,0.0458,-0.482353,-0.16918,0.165687
0.086027,0.0641136,-0.169631,0.00776578,-0.00642354,-0.000862864,0.05496,-1,-0.169631,0.165687
0.090514,0.0676089,-0.170002,0.00776578,-0.00604005,-0.000862864,0.07328,-0.541176,-0.170002,0.165687
0.094865,0.0710569,-0.170377,0.00776578,-0.00604005,-0.000862864,0.07328,-0.988235,-0.170377,0.165687
0.102824,0.0766853,-0.170976,0.00776578,-0.00565655,-0.000862864,0.07328,-0.752941,-0.170976,0.165687
0.108013,0.0814461,-0.171478,0.00776578,-0.00527306,-0.000862864,0.07786,-0.741176,-0.171478,0.165687
0.112438,0.0849366,-0.171852,0.00776578,-0.00527306,-0.000862864,0.09618,-0.564706,-0.171852,0.165687
0.11686,0.088415,-0.172224,0.00776578,-0.00527306,-0.000862864,0.08244,-0.858824,-0.172224,0.165687
0.121127,0.0919069,-0.172587,0.00776578,-0.00498544,-0.000862864,0.08244,-0.658824,-0.172587,0.165687
0.125386,0.0953004,-0.172947,0.00776578,-0.00498544,-0.000862864,0.0687,-0.482353,-0.172947,0.165687
0.134386,0.101585,-0.173602,0.00776578,-0.00469782,-0.000862864,0.06412,-0.941176,-0.173602,0.165687
0.138974,0.106256,-0.174085,0.00776578,-0.00441019,-0.000862864,2.35412,-1.03529,-0.174085,0.165687
0.143432,0.109742,-0.174449,0.00776578,-0.00441019,-0.000862864,0.03664,-0.658824,-0.174449,0.165687
0.147852,0.113264,-0.174808,0.00776578,-0.00412257,-0.000862864,0.02748,-0.447059,-0.174808,0.165687
0.152312,0.116894,-0.175184,0.00776578,-0.00412257,-0.00076699,0.0229,-0.976471,-0.175184,0.165687
0.156642,0.120417,-0.175409,0.00776578,-0.00412257,-0.00076699,0.00916,-0.529412,-0.175409,0.165687
0.16227,0.124839,-0.175857,0.00776578,-0.00383495,-0.00076699,0.00458,-1.07059,-0.175857,0.165687
0.16881,0.12986,-0.176372,0.00776578,-0.00383495,-0.00076699,0.01374,-0.847059,-0.176372,0.165687
0.173506,0.134069,-0.176796,0.00776578,-0.0036432,-0.00076699,0.00916,-0.682353,-0.176796,0.165687
0.17787,0.137675,-0.177155,0.00776578,-0.00335558,-0.00076699,0.00916,-0.494118,-0.177155,0.165687
0.18224,0.141227,-0.177514,0.00776578,-0.00335558,-0.000862864,0.02748,-0.741176,-0.177514,0.165687
0.188145,0.14481,-0.178012,0.00776578,-0.00335558,-0.000862864,0.01832,-0.505882,-0.178012,0.165687
0.193616,0.150442,-0.178572,0.00776578,-0.00316384,-0.00076699,0.0229,-1,-0.178572,0.165687
0.198005,0.154127,-0.178805,0.00776578,-0.00316384,-0.000862864,0.02748,-0.776471,-0.178805,0.165687
0.202393,0.15771,-0.179291,0.00776578,-0.00297209,-0.000862864,0.03206,-0.447059,-0.179291,0.165687
0.206851,0.161297,-0.179646,0.00776578,-0.00297209,-0.00076699,0.03206,-1.03529,-0.179646,0.165687
0.211107,0.164904,-0.179863,0.00776578,-0.00278034,-0.00076699,0.03664,-0.6,-0.179863,0.165687
0.215571,0.168519,-0.18022,0.00776578,-0.00278034,-0.000862864,0.03206,-1.03529,-0.18022,0.165687
0.219911,0.172161,-0.18071,0.00776578,-0.00278034,-0.000862864,0.03664,-0.564706,-0.18071,0.165687
0.225845,0.176972,-0.181174,0.00776578,-0.00258859,-0.000862864,0.0458,-0.8,-0.181174,0.165687
0.230721,0.181037,-0.181566,0.00776578,-0.00249272,-0.000862864,0.03664,-0.741176,-0.181566,0.165687
0.235081,0.184769,-0.181927,0.00776578,-0.00249272,-0.000862864,0.04122,-0.623529,-0.181927,0.165687
0.239435,0.188297,-0.182268,0.00776578,-0.00249272,-0.000862864,2.35412,-0.611765,-0.182268,0.165687
0.243848,0.191937,-0.182612,0.00776578,-0.00230097,-0.000862864,0.05496,-0.776471,-0.182612,0.165687
0.248122,0.195586,-0.182962,0.00776578,-0.00230097,-0.000862864,0.05496,-0.482353,-0.182962,0.165687
0.255396,0.200954,-0.183471,0.00776578,-0.0022051,-0.000862864,0.06412,-0.717647,-0.183471,0.165687
0.260336,0.205665,-0.183917,0.00776578,-0.0022051,-0.000862864,0.06412,-0.705882,-0.183917,0.165687
0.264857,0.209509,-0.184275,0.00776578,-0.00201335,-0.000862864,0.07328,-0.541176,-0.184275,0.165687
0.269251,0.213274,-0.18463,0.00776578,-0.00201335,-0.00076699,0.07786,-1.04706,-0.18463,0.165687
0.273689,0.216964,-0.184845,0.00776578,-0.00191748,-0.000862864,0.07328,-0.552941,-0.184845,0.165687
0.277865,0.22064,-0.185316,0.00776578,-0.00191748,-0.000862864,0.08244,-0.447059,-0.185316,0.165687
0.284298,0.225723,-0.185787,0.00776578,-0.0018216,-0.000862864,0.07328,-0.8,-0.185787,0.165687
0.288963,0.229772,-0.186161,0.00776578,-0.0018216,-0.000862864,0.0687,-0.623529,-0.186161,0.165687
0.29345,0.233646,-0.186516,0.00776578,-0.00172573,-0.000862864,0.07328,-0.447059,-0.186516,0.165687
0.297751,0.237349,-0.186857,0.00776578,-0.00172573,-0.000862864,0.05496,-1.03529,-0.186857,0.165687
0.302124,0.241063,-0.187194,0.00776578,-0.00162985,-0.000862864,0.05954,-0.552941,-0.187194,0.165687
0.306395,0.244678,-0.187524,0.00776578,-0.00162985,-0.000862864,0.05954,-0.788235,-0.187524,0.165687
0.312462,0.248407,-0.187861,0.00776578,-0.00153398,-0.000862864,0.0458,-0.635294,-0.187861,0.165687
0.317169,0.253884,-0.188356,0.00776578,-0.00153398,-0.00076699,0.04122,-0.541176,-0.188356,0.165687
0.322077,0.258063,-0.188607,0.00776578,-0.00143811,-0.000862864,0.02748,-0.517647,-0.188607,0.165687
0.326558,0.261877,-0.189073,0.00776578,-0.00143811,-0.00076699,0.03664,1.98824,-0.189073,0.165687
0.330952,0.265732,-0.189194,0.00776578,0.00239685,-0.00076699,0.05954,0.529412,-0.189194,0.165687
0.335396,0.269477,-0.189313,0.00786165,0.0105461,-0.000862864,0.1145,2.07059,-0.189313,0.167733
0.339869,0.273244,-0.189588,0.00786165,0.017449,-0.000862864,0.16946,1.24706,-0.189588,0.167733
0.347064,0.279578,-0.190164,0.00795753,0.0168738,-0.000958738,0.22442,2.24706,-0.190164,0.169778
0.35166,0.283402,-0.190617,0.0080534,0.0170655,-0.000958738,0.27022,2,-0.190617,0.171824
0.356178,0.287372,-0.190937,0.00814927,0.0181201,-0.00105461,0.31144,1.89412,-0.190937,0.173869
0.360564,0.291167,-0.191401,0.00824515,0.0176408,-0.00105461,0.34808,1.69412,-0.191401,0.175915
0.364956,0.294969,-0.19176,0.00834102,0.0165862,-0.00105461,0.36182,0.341176,-0.19176,0.17796
0.369281,0.298764,-0.192174,0.00834102,0.0133265,-0.00105461,0.33892,2.65882,-0.192174,0.17796
0.375225,0.30256,-0.192527,0.00843689,0.0123677,-0.00105461,0.32976,2.67059,-0.192527,0.180005
0.379923,0.308049,-0.192959,0.00843689,0.0139017,-0.00105461,0.30686,3.23529,-0.192959,0.180005
0.384495,0.311976,-0.193203,0.00853277,0.017449,-0.00105461,0.31144,2.88235,-0.193203,0.182051
0.388833,0.315762,-0.193483,0.00862864,0.0190789,-0.00105461,0.3206,3.38824,-0.193483,0.184096
0.393094,0.319636,-0.19377,0.00872452,0.0207087,-0.00105461,0.3206,2.88235,-0.19377,0.186142
0.397422,0.323313,-0.194025,0.00882039,0.0229138,-0.00105461,0.32976,2.72941,-0.194025,0.188187
0.403469,0.327154,-0.194305,0.00891626,0.0246396,-0.00105461,0.33434,2.55294,-0.194305,0.190233
0.409217,0.333712,-0.194827,0.00901214,0.0257901,-0.00105461,0.33434,2.47059,-0.194827,0.192278
0.413922,0.337879,-0.195131,0.00920388,0.0275158,-0.00105461,0.33892,2.48235,-0.195131,0.196369
0.418271,0.34169,-0.195409,0.00929976,0.0290498,-0.00105461,0.33892,2.72941,-0.195409,0.198415
0.42284,0.34567,-0.195715,0.00939563,0.0300085,-0.00105461,0.34808,2.61176,-0.195715,0.20046
0.427104,0.34954,-0.195994,0.00958738,0.0316384,-0.00105461,0.34808,2.15294,-0.195994,0.204551
0.43138,0.353299,-0.196258,0.00968325,0.03346,-0.00105461,0.3435,1.94118,-0.196258,0.206596
0.439295,0.360274,-0.196817,0.009875,0.0340352,-0.00105461,0.34808,1.83529,-0.196817,0.210687
0.444919,0.364824,-0.197083,0.0100667,0.0381578,-0.00105461,0.35266,1.63529,-0.197083,0.214778
0.449636,0.369476,-0.197346,0.0104502,0.0426638,-0.00115049,0.37556,1.18824,-0.197346,0.22296
0.453947,0.373434,-0.197969,0.0105461,0.0353774,-0.00105461,0.38014,3.07059,-0.197969,0.225005
0.458294,0.377267,-0.198244,0.0107379,0.0324053,-0.00105461,0.33434,2.98824,-0.198244,0.229096
0.462604,0.381155,-0.198595,0.0108337,0.0309672,-0.00105461,0.2977,3.25882,-0.198595,0.231142
0.471034,0.387621,-0.199085,0.0110255,0.0321177,-0.00105461,0.24732,3.49412,-0.199085,0.235232
0.475907,0.393054,-0.199451,0.0113131,0.0348022,-0.000958738,0.1832,3.49412,-0.199451,0.241369
0.480266,0.396982,-0.199622,0.011409,0.0360486,-0.000958738,0.14656,3.17647,-0.199622,0.243414
0.484689,0.400931,-0.199904,0.0116007,0.0372949,-0.000958738,0.12366,3,-0.199904,0.247505
0.489065,0.404879,-0.200134,0.0117925,0.0405546,-0.000862864,0.09618,3.43529,-0.200134,0.251596
0.49483,0.408828,-0.200218,0.0118884,0.0451566,-0.000862864,0.10076,3.4,-0.200218,0.253641
0.501467,0.415548,-0.200635,0.012176,0.0495668,-0.000862864,0.12824,1.43529,-0.200635,0.259777
0.506617,0.420412,-0.201014,0.0124636,0.0496626,-0.000958738,0.16946,1.07059,-0.201014,0.265913
0.511014,0.424816,-0.201497,0.0128471,0.0485121,-0.000958738,0.21068,1.55294,-0.201497,0.274095
0.515333,0.428794,-0.201778,0.012943,0.0496626,-0.000958738,0.229,0.517647,-0.201778,0.27614
0.519635,0.432663,-0.202076,0.0131347,0.0497585,-0.000958738,0.25648,0.894118,-0.202076,0.280231
0.524011,0.436697,-0.202584,0.0134223,0.0420886,-0.000958738,0.26564,0.694118,-0.202584,0.286367
