time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.008858,0.0034083,-0.125181,-0.154069,-0.418585,0.0140934,-4.11284,-0.423529,-0.125181,-3.2742
0.020358,0.0118344,-0.108012,-0.156562,-0.199993,0.0159151,-6.43948,-4.97647,-0.108012,-3.32674
0.032114,0.0195969,-0.100023,-0.158288,-0.0992294,0.0165862,-6.81046,-5.8,-0.100023,-3.3631
0.041923,0.0280358,-0.0959637,-0.159151,-0.040267,0.0159151,-6.37994,-7.87059,-0.0959637,-3.38128
0.050029,0.0350156,-0.0988226,-0.15963,-0.0533058,0.0148604,-5.11128,-10.9647,-0.0988226,-3.39138
0.058721,0.0408728,-0.105571,-0.160205,-0.108242,0.0139976,-4.36932,-9.68235,-0.105571,-3.4035
0.066029,0.0475144,-0.11382,-0.161356,-0.179188,0.0133265,-3.99376,-11.5529,-0.11382,-3.42773
0.074224,0.0539737,-0.1206,-0.162602,-0.237671,0.0130388,-3.85636,-11.9765,-0.1206,-3.45397
0.081206,0.0603243,-0.126381,-0.164519,-0.28743,0.0131347,-4.06246,-10.3765,-0.126381,-3.49434
0.090065,0.0663301,-0.130452,-0.166533,-0.319739,0.0135182,-4.54794,-8.77647,-0.130452,-3.5367
0.09826,0.0729076,-0.131034,-0.169409,-0.30996,0.0139976,-4.98762,-8.52941,-0.131034,-3.59721
0.106937,0.0797891,-0.132906,-0.171806,-0.314562,0.0144769,-5.28074,-7.75294,-0.132906,-3.6476
0.126029,0.092508,-0.132727,-0.174586,-0.280527,0.0146687,-5.30822,-9.08235,-0.132727,-3.70604
0.138934,0.103722,-0.136813,-0.179955,-0.299893,0.0143811,-4.95556,-9.08235,-0.136813,-3.81879
0.15296,0.113369,-0.143161,-0.183886,-0.350994,0.0140934,-4.44718,-9.49412,-0.143161,-3.90127
0.165964,0.124653,-0.146883,-0.188296,-0.367005,0.01371,-4.2136,-7.24706,-0.146883,-3.99375
0.179063,0.135207,-0.151387,-0.192994,-0.395192,0.01371,-4.15406,-6.16471,-0.151387,-4.09216
0.191095,0.146653,-0.151551,-0.197788,-0.36643,0.0139017,-4.2594,-7.64706,-0.151551,-4.19249
0.202155,0.155647,-0.153961,-0.20191,-0.37247,0.0138058,-4.02124,-6.89412,-0.153961,-4.2787
0.210839,0.163851,-0.156341,-0.205649,-0.380331,0.0136141,-3.92964,-12.7059,-0.156341,-4.35682
0.21727,0.170184,-0.158374,-0.208813,-0.38896,0.0135182,-4.00292,-9.90588,-0.158374,-4.42288
0.241709,0.190351,-0.163711,-0.21236,-0.402191,0.0134223,-4.1449,-8.08235,-0.163711,-4.4969
0.255038,0.197847,-0.16119,-0.220222,-0.349556,0.0139017,-4.63954,-8.04706,-0.16119,-4.66072
0.26808,0.208679,-0.162436,-0.224824,-0.336038,0.0139976,-4.52962,-8.16471,-0.162436,-4.75649
0.28117,0.218819,-0.164865,-0.229043,-0.339106,0.0139017,-4.2136,-7.2,-0.164865,-4.84418
0.294187,0.230731,-0.167826,-0.233165,-0.344091,0.01371,-3.93422,-7.32941,-0.167826,-4.9298
