time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,tau_esti,tau_mod
0.004523,0.000667588,-0.160855,-0.0147646,0,0,-0.40762,0.305882,-0.160855,-0.315002
0.011243,0.00421949,-0.161275,-0.0147646,0,0,-0.39846,-4.02353,-0.161275,-0.315002
0.016127,0.00943215,-0.162959,-0.0148604,-0.037199,0,-0.41678,-5.75294,-0.162959,-0.317047
0.021072,0.0131177,-0.164811,-0.0151481,-0.088108,0.000191748,-0.67326,-5.6,-0.164811,-0.323183
0.028156,0.0187811,-0.165496,-0.0155316,-0.100284,0.000479369,-0.95264,-3.74118,-0.165496,-0.331364
0.032846,0.0223876,-0.165347,-0.0162027,-0.0962573,0.000958738,-1.32362,-3.09412,-0.165347,-0.345681
0.037352,0.0259576,-0.164774,-0.016682,-0.088108,0.00134223,-1.5343,-1.83529,-0.164774,-0.355908
0.041863,0.0294431,-0.164072,-0.0170655,-0.0703714,0.00162985,-1.63964,-2.88235,-0.164072,-0.364089
0.046295,0.032925,-0.163658,-0.0173532,-0.057716,0.00172573,-1.69918,-2.81176,-0.163658,-0.370224
0.05075,0.0363333,-0.163816,-0.0175449,-0.0547439,0.0018216,-1.69918,-3.57647,-0.163816,-0.374315
0.055171,0.0398398,-0.163921,-0.0178325,-0.0495668,0.0018216,-1.18164,-3.36471,-0.163921,-0.380451
0.060672,0.043958,-0.16417,-0.0180243,-0.0416092,0.00191748,-1.64422,-3.31765,-0.16417,-0.384541
0.065398,0.0476594,-0.164005,-0.018216,-0.0263653,0.0018216,-1.50682,-3.42353,-0.164005,-0.388631
0.069892,0.0512654,-0.16444,-0.0183119,-0.0217634,0.00162985,-1.31904,-5.70588,-0.16444,-0.390677
0.074359,0.0547903,-0.165149,-0.0183119,-0.0217634,0.00143811,-1.09462,-4.77647,-0.165149,-0.390677
0.078828,0.0583697,-0.165724,-0.0184078,-0.0170655,0.00115049,-0.8931,-5.50588,-0.165724,-0.392722
0.086312,0.0618708,-0.166631,-0.0185036,-0.0191748,0.000958738,-0.72364,-5.38824,-0.166631,-0.394767
0.09156,0.0682203,-0.168444,-0.0187913,-0.0476493,0.00076699,-0.59998,-5.42353,-0.168444,-0.400902
0.0962,0.0719952,-0.169615,-0.0190789,-0.0641396,0.00076699,-0.49464,-2.98824,-0.169615,-0.407038
0.100843,0.0756054,-0.170175,-0.0193665,-0.0700837,0.000671117,-0.47632,-2.70588,-0.170175,-0.413174
0.105425,0.0792701,-0.171127,-0.0196541,-0.0849442,0.000671117,-0.49464,-3.38824,-0.171127,-0.419309
0.10994,0.0828629,-0.171938,-0.0201335,-0.100476,0.00076699,-0.5496,-2.35294,-0.171938,-0.429535
0.11437,0.0864322,-0.172176,-0.020517,-0.100284,0.00076699,-0.65494,-3.88235,-0.172176,-0.437715
0.118894,0.0899944,-0.172674,-0.0209964,-0.104502,0.000958738,-0.74654,-3.10588,-0.172674,-0.447941
0.124828,0.0946242,-0.172663,-0.0213799,-0.0961614,0.000958738,-0.81982,-3.82353,-0.172663,-0.456121
0.129466,0.0984541,-0.172971,-0.0219551,-0.0923265,0.00105461,-0.87478,-2.38824,-0.172971,-0.468391
0.133916,0.102096,-0.173224,-0.0224345,-0.0925182,0.00105461,-0.90684,-4.14118,-0.173224,-0.478616
0.138336,0.105605,-0.173707,-0.022818,-0.0965449,0.00115049,-0.94348,-1.49412,-0.173707,-0.486797
0.142746,0.109126,-0.173674,-0.0232015,-0.0866699,0.00115049,-0.9618,-3.43529,-0.173674,-0.494977
0.14898,0.113109,-0.174045,-0.0236808,-0.0847524,0.00115049,-0.94806,-4.51765,-0.174045,-0.505201
0.15358,0.117811,-0.174521,-0.0240643,-0.0839854,0.00115049,-0.90226,-4.83529,-0.174521,-0.513381
0.158116,0.121538,-0.175084,-0.0245437,-0.0903131,0.00105461,-0.85188,-3.8,-0.175084,-0.523606
0.162663,0.125177,-0.175812,-0.0249272,-0.0980789,0.00115049,-0.85646,-2.17647,-0.175812,-0.531786
0.167074,0.12882,-0.176185,-0.0254066,-0.103064,0.00115049,-0.87478,-1.97647,-0.176185,-0.54201
0.171526,0.13237,-0.176495,-0.0258859,-0.100859,0.00115049,-0.8931,-2.43529,-0.176495,-0.552234
0.175927,0.13603,-0.176803,-0.0263653,-0.0981748,0.00115049,-0.91142,-3.42353,-0.176803,-0.562459
0.180646,0.139796,-0.177117,-0.0266529,-0.0953944,0.00115049,-0.89768,-3.50588,-0.177117,-0.568593
0.185198,0.143524,-0.177571,-0.0272282,-0.0980789,0.00115049,-0.87936,-3.57647,-0.177571,-0.580862
0.189866,0.147309,-0.177946,-0.027324,-0.0975995,0.00115049,-0.8473,-3.28235,-0.177946,-0.582907
0.194499,0.151135,-0.178685,-0.028091,-0.11083,0.00115049,-0.82898,-2.88235,-0.178685,-0.599265
0.198912,0.15482,-0.178912,-0.0286663,-0.105269,0.00115049,-0.83356,-4.41176,-0.178912,-0.611533
0.2034,0.158418,-0.179175,-0.0291456,-0.101434,0.00115049,-0.85646,-3.21176,-0.179175,-0.621756
